l1,l2,syntactic_dist,genetic_dist,has_missing_syntax
abk,san,0.78,1.0,True
abk,gla,0.78,1.0,False
abk,hbs,0.59,1.0,False
abk,sms,0.59,1.0,True
abk,slk,0.59,1.0,True
abk,slv,0.75,1.0,False
abk,spa,0.67,1.0,False
abk,arb,0.89,1.0,False
abk,swe,0.77,1.0,False
abk,tam,0.46,1.0,False
abk,ttc,0.9,1.0,True
abk,tpn,0.59,1.0,True
abk,tur,0.59,1.0,False
abk,uig,0.6,1.0,False
abk,ukr,0.75,1.0,False
abk,hsb,0.59,1.0,True
abk,urd,0.69,1.0,False
abk,urb,0.7,1.0,False
abk,uzb,0.59,1.0,False
abk,vep,0.59,1.0,True
abk,wbp,0.71,1.0,False
abk,cym,0.82,1.0,False
abk,hyw,,,
abk,wol,0.79,1.0,False
abk,sah,0.63,1.0,False
abk,nhi,0.59,1.0,True
aqz,sqi,0.0,1.0,True
aqz,amh,0.57,1.0,True
aqz,grc,0.69,1.0,True
aqz,hbo,0.0,1.0,True
aqz,apu,0.63,1.0,True
aqz,hye,0.54,1.0,True
aqz,eus,0.53,1.0,True
aqz,bel,0.74,1.0,True
aqz,ben,0.67,1.0,True
aqz,bho,0.69,1.0,True
aqz,bor,0.74,1.0,True
aqz,bre,0.59,1.0,True
aqz,bul,0.61,1.0,True
aqz,bua,0.0,1.0,True
aqz,cat,0.66,1.0,True
aqz,chu,0.0,1.0,True
aqz,xcl,0.0,1.0,True
aqz,ces,0.66,1.0,True
aqz,dan,0.66,1.0,True
aqz,nld,0.63,1.0,True
aqz,egy,0.0,1.0,True
aqz,eng,0.57,1.0,True
aqz,myv,0.73,1.0,True
aqz,est,0.66,1.0,True
aqz,fao,0.74,1.0,True
aqz,fin,0.57,1.0,True
aqz,fra,0.57,1.0,True
aqz,glg,0.72,1.0,True
aqz,kat,0.55,1.0,True
aqz,deu,0.58,1.0,True
aqz,aln,0.0,1.0,True
aqz,got,0.7,1.0,True
aqz,guj,0.74,1.0,True
aqz,heb,0.54,1.0,True
aqz,azz,0.87,1.0,True
aqz,hin,0.58,1.0,True
aqz,hit,0.75,1.0,True
aqz,hun,0.55,1.0,True
aqz,isl,0.6,1.0,True
aqz,gle,0.63,1.0,True
aqz,ita,0.61,1.0,True
aqz,quc,0.66,1.0,True
aqz,xnr,0.0,1.0,True
aqz,krl,0.0,1.0,True
aqz,kxh,0.87,1.0,True
aqz,kaz,0.87,1.0,True
aqz,kir,0.73,1.0,True
aqz,koi,0.75,1.0,True
aqz,kpv,0.72,1.0,True
aqz,lat,0.66,1.0,True
aqz,lav,0.63,1.0,True
aqz,lij,0.0,1.0,True
aqz,lit,0.61,1.0,True
aqz,olo,0.0,1.0,True
aqz,nds,0.0,1.0,True
aqz,mkd,0.73,1.0,True
aqz,mar,0.67,1.0,True
aqz,frm,0.0,1.0,True
aqz,ell,0.54,1.0,True
aqz,mdf,0.0,1.0,True
aqz,yrl,0.0,0.8,True
aqz,pcm,0.0,1.0,True
aqz,kmr,0.71,1.0,True
aqz,sme,0.74,1.0,True
aqz,fro,0.69,1.0,True
aqz,orv,0.0,1.0,True
aqz,ota,0.0,1.0,True
aqz,fas,0.0,1.0,True
aqz,xpg,0.0,1.0,True
aqz,pol,0.6,1.0,True
aqz,por,0.61,1.0,True
aqz,ron,0.61,1.0,True
aqz,rus,0.57,1.0,True
aqz,san,0.8,1.0,True
aqz,gla,0.63,1.0,True
aqz,hbs,0.0,1.0,True
aqz,sms,0.0,1.0,True
aqz,slk,0.0,1.0,True
aqz,slv,0.64,1.0,True
aqz,spa,0.56,1.0,True
aqz,arb,0.67,1.0,True
aqz,swe,0.64,1.0,True
aqz,tam,0.66,1.0,True
aqz,ttc,0.86,1.0,True
aqz,tpn,0.0,0.8,True
aqz,tur,0.55,1.0,True
aqz,uig,0.69,1.0,True
aqz,ukr,0.61,1.0,True
aqz,hsb,0.0,1.0,True
aqz,urd,0.69,1.0,True
aqz,urb,0.66,0.8,True
aqz,uzb,0.0,1.0,True
aqz,vep,0.0,1.0,True
aqz,wbp,0.61,1.0,True
aqz,cym,0.63,1.0,True
aqz,hyw,,,True
aqz,wol,0.62,1.0,True
aqz,sah,0.72,1.0,True
aqz,nhi,0.0,1.0,True
sqi,amh,0.57,1.0,False
sqi,grc,0.69,1.0,True
sqi,hbo,0.0,1.0,True
sqi,apu,0.63,1.0,False
sqi,hye,0.54,1.0,False
sqi,eus,0.53,1.0,False
sqi,bel,0.74,1.0,False
sqi,ben,0.67,1.0,False
sqi,bho,0.69,1.0,False
sqi,bor,0.74,1.0,False
sqi,bre,0.59,1.0,False
sqi,bul,0.61,1.0,False
sqi,bua,0.0,1.0,False
sqi,cat,0.66,1.0,False
sqi,chu,0.0,1.0,True
sqi,xcl,0.0,1.0,True
sqi,ces,0.66,1.0,False
sqi,dan,0.66,1.0,False
sqi,nld,0.63,1.0,False
sqi,egy,0.0,1.0,True
sqi,eng,0.57,1.0,False
sqi,myv,0.73,1.0,False
sqi,est,0.66,1.0,False
sqi,fao,0.74,1.0,True
sqi,fin,0.57,1.0,False
sqi,fra,0.57,1.0,False
sqi,glg,0.72,1.0,True
sqi,kat,0.55,1.0,False
sqi,deu,0.58,1.0,False
sqi,aln,0.0,1.0,True
sqi,got,0.7,1.0,True
sqi,guj,0.74,1.0,False
sqi,heb,0.54,1.0,False
sqi,azz,0.87,1.0,True
sqi,hin,0.58,1.0,False
sqi,hit,0.75,1.0,True
sqi,hun,0.55,1.0,False
sqi,isl,0.6,1.0,False
sqi,gle,0.63,1.0,False
sqi,ita,0.61,1.0,False
sqi,quc,0.66,1.0,False
sqi,xnr,0.0,1.0,True
sqi,krl,0.0,1.0,True
sqi,kxh,0.87,1.0,True
sqi,kaz,0.87,1.0,True
sqi,kir,0.73,1.0,False
sqi,koi,0.75,1.0,False
sqi,kpv,0.72,1.0,False
sqi,lat,0.66,1.0,True
sqi,lav,0.63,1.0,False
sqi,lij,0.0,1.0,True
sqi,lit,0.61,1.0,False
sqi,olo,0.0,1.0,True
sqi,nds,0.0,1.0,True
sqi,mkd,0.73,1.0,False
sqi,mar,0.67,1.0,False
sqi,frm,0.0,1.0,True
sqi,ell,0.54,1.0,False
sqi,mdf,0.0,1.0,True
sqi,yrl,0.0,1.0,True
sqi,pcm,0.0,1.0,True
sqi,kmr,0.71,1.0,False
sqi,sme,0.74,1.0,False
sqi,fro,0.69,1.0,True
sqi,orv,0.0,1.0,True
sqi,ota,0.0,1.0,True
sqi,fas,0.0,1.0,False
sqi,xpg,0.0,1.0,True
sqi,pol,0.6,1.0,False
sqi,por,0.61,1.0,False
sqi,ron,0.61,1.0,False
sqi,rus,0.57,1.0,False
sqi,san,0.8,1.0,True
sqi,gla,0.63,1.0,False
sqi,hbs,0.0,1.0,False
sqi,sms,0.0,1.0,True
sqi,slk,0.0,1.0,True
sqi,slv,0.64,1.0,False
sqi,spa,0.56,1.0,False
sqi,arb,0.67,1.0,False
sqi,swe,0.64,1.0,False
sqi,tam,0.66,1.0,False
sqi,ttc,0.86,1.0,True
sqi,tpn,0.0,1.0,True
sqi,tur,0.55,1.0,False
sqi,uig,0.69,1.0,False
sqi,ukr,0.61,1.0,False
sqi,hsb,0.0,1.0,True
sqi,urd,0.69,1.0,False
sqi,urb,0.66,1.0,False
sqi,uzb,0.0,1.0,False
sqi,vep,0.0,1.0,True
sqi,wbp,0.61,1.0,False
sqi,cym,0.63,1.0,False
sqi,hyw,,,
sqi,wol,0.62,1.0,False
sqi,sah,0.72,1.0,False
sqi,nhi,0.0,1.0,True
amh,grc,0.75,1.0,True
amh,hbo,0.57,0.625,True
amh,apu,0.69,1.0,False
amh,hye,0.51,1.0,False
amh,eus,0.62,1.0,False
amh,bel,0.75,1.0,False
amh,ben,0.64,1.0,False
amh,bho,0.63,1.0,False
amh,bor,0.72,1.0,False
amh,bre,0.63,1.0,False
amh,bul,0.62,1.0,False
amh,bua,0.57,1.0,False
amh,cat,0.7,1.0,False
amh,chu,0.57,1.0,True
amh,xcl,0.57,1.0,True
amh,ces,0.56,1.0,False
amh,dan,0.65,1.0,False
amh,nld,0.61,1.0,False
amh,egy,0.57,0.875,True
amh,eng,0.61,1.0,False
amh,myv,0.69,1.0,False
amh,est,0.64,1.0,False
amh,fao,0.7,1.0,True
amh,fin,0.63,1.0,False
amh,fra,0.63,1.0,False
amh,glg,0.75,1.0,True
amh,kat,0.64,1.0,False
amh,deu,0.58,1.0,False
amh,aln,0.57,1.0,True
amh,got,0.71,1.0,True
amh,guj,0.73,1.0,False
amh,heb,0.63,0.625,False
amh,azz,0.9,1.0,True
amh,hin,0.58,1.0,False
amh,hit,0.65,1.0,True
amh,hun,0.57,1.0,False
amh,isl,0.67,1.0,False
amh,gle,0.72,1.0,False
amh,ita,0.64,1.0,False
amh,quc,0.71,1.0,False
amh,xnr,0.57,1.0,True
amh,krl,0.57,1.0,True
amh,kxh,0.79,1.0,True
amh,kaz,0.79,1.0,True
amh,kir,0.57,1.0,False
amh,koi,0.71,1.0,False
amh,kpv,0.75,1.0,False
amh,lat,0.68,1.0,True
amh,lav,0.56,1.0,False
amh,lij,0.57,1.0,True
amh,lit,0.57,1.0,False
amh,olo,0.57,1.0,True
amh,nds,0.57,1.0,True
amh,mkd,0.77,1.0,False
amh,mar,0.59,1.0,False
amh,frm,0.57,1.0,True
amh,ell,0.63,1.0,False
amh,mdf,0.57,1.0,True
amh,yrl,0.57,1.0,True
amh,pcm,0.57,1.0,True
amh,kmr,0.68,1.0,False
amh,sme,0.68,1.0,False
amh,fro,0.67,1.0,True
amh,orv,0.57,1.0,True
amh,ota,0.57,1.0,True
amh,fas,0.57,1.0,False
amh,xpg,0.57,1.0,True
amh,pol,0.67,1.0,False
amh,por,0.65,1.0,False
amh,ron,0.68,1.0,False
amh,rus,0.63,1.0,False
amh,san,0.72,1.0,True
amh,gla,0.68,1.0,False
amh,hbs,0.57,1.0,False
amh,sms,0.57,1.0,True
amh,slk,0.57,1.0,True
amh,slv,0.58,1.0,False
amh,spa,0.64,1.0,False
amh,arb,0.74,0.625,False
amh,swe,0.65,1.0,False
amh,tam,0.53,1.0,False
amh,ttc,0.86,1.0,True
amh,tpn,0.57,1.0,True
amh,tur,0.54,1.0,False
amh,uig,0.59,1.0,False
amh,ukr,0.6,1.0,False
amh,hsb,0.57,1.0,True
amh,urd,0.67,1.0,False
amh,urb,0.71,1.0,False
amh,uzb,0.57,1.0,False
amh,vep,0.57,1.0,True
amh,wbp,0.68,1.0,False
amh,cym,0.74,1.0,False
amh,hyw,,,
amh,wol,0.63,1.0,False
amh,sah,0.61,1.0,False
amh,nhi,0.57,1.0,True
grc,hbo,0.69,1.0,True
grc,apu,0.77,1.0,True
grc,hye,0.64,0.75,True
grc,eus,0.74,1.0,True
grc,bel,0.7,0.8,True
grc,ben,0.77,0.875,True
grc,bho,0.76,0.8,True
grc,bor,0.93,1.0,True
grc,bre,0.57,0.875,True
grc,bul,0.61,0.8571,True
grc,bua,0.69,1.0,True
grc,cat,0.47,0.9091,True
grc,chu,0.69,0.8,True
grc,xcl,0.69,0.8,True
grc,ces,0.56,0.8571,True
grc,dan,0.68,0.8,True
grc,nld,0.62,0.9,True
grc,egy,0.69,1.0,True
grc,eng,0.67,0.9,True
grc,myv,0.79,1.0,True
grc,est,0.72,1.0,True
grc,fao,0.42,0.8,True
grc,fin,0.67,1.0,True
grc,fra,0.64,0.9375,True
grc,glg,0.25,0.9231,True
grc,kat,0.63,1.0,True
grc,deu,0.66,0.8571,True
grc,aln,0.69,0.8,True
grc,got,0.43,0.8,True
grc,guj,0.75,0.875,True
grc,heb,0.62,1.0,True
grc,azz,0.79,1.0,True
grc,hin,0.74,0.875,True
grc,hit,0.56,0.8,True
grc,hun,0.71,1.0,True
grc,isl,0.62,0.8571,True
grc,gle,0.58,0.875,True
grc,ita,0.55,0.9,True
grc,quc,0.4,1.0,True
grc,xnr,0.69,0.875,True
grc,krl,0.69,1.0,True
grc,kxh,0.93,1.0,True
grc,kaz,0.93,1.0,True
grc,kir,0.9,1.0,True
grc,koi,0.85,1.0,True
grc,kpv,0.77,1.0,True
grc,lat,0.35,0.8,True
grc,lav,0.68,0.8,True
grc,lij,0.69,0.8,True
grc,lit,0.54,0.75,True
grc,olo,0.69,1.0,True
grc,nds,0.69,0.8889,True
grc,mkd,0.68,0.8571,True
grc,mar,0.83,0.8571,True
grc,frm,0.69,0.8,True
grc,ell,0.56,0.3333,True
grc,mdf,0.69,1.0,True
grc,yrl,0.69,1.0,True
grc,pcm,0.69,0.9231,True
grc,kmr,0.77,0.8,True
grc,sme,0.79,1.0,True
grc,fro,0.34,0.8,True
grc,orv,0.69,0.8,True
grc,ota,0.69,1.0,True
grc,fas,0.69,1.0,True
grc,xpg,0.69,0.6,True
grc,pol,0.53,0.8333,True
grc,por,0.58,0.9333,True
grc,ron,0.52,0.8889,True
grc,rus,0.65,0.8,True
grc,san,0.91,0.75,True
grc,gla,0.62,0.8,True
grc,hbs,0.69,1.0,True
grc,sms,0.69,1.0,True
grc,slk,0.69,0.8,True
grc,slv,0.58,0.8333,True
grc,spa,0.65,0.9231,True
grc,arb,0.67,1.0,True
grc,swe,0.61,0.8571,True
grc,tam,0.83,1.0,True
grc,ttc,0.81,1.0,True
grc,tpn,0.69,1.0,True
grc,tur,0.73,1.0,True
grc,uig,0.88,1.0,True
grc,ukr,0.58,0.8333,True
grc,hsb,0.69,0.8,True
grc,urd,0.72,0.875,True
grc,urb,0.86,1.0,True
grc,uzb,0.69,1.0,True
grc,vep,0.69,1.0,True
grc,wbp,0.64,1.0,True
grc,cym,0.62,0.8,True
grc,hyw,,,True
grc,wol,0.6,1.0,True
grc,sah,0.87,1.0,True
grc,nhi,0.69,1.0,True
hbo,apu,0.63,1.0,True
hbo,hye,0.54,1.0,True
hbo,eus,0.53,1.0,True
hbo,bel,0.74,1.0,True
hbo,ben,0.67,1.0,True
hbo,bho,0.69,1.0,True
hbo,bor,0.74,1.0,True
hbo,bre,0.59,1.0,True
hbo,bul,0.61,1.0,True
hbo,bua,0.0,1.0,True
hbo,cat,0.66,1.0,True
hbo,chu,0.0,1.0,True
hbo,xcl,0.0,1.0,True
hbo,ces,0.66,1.0,True
hbo,dan,0.66,1.0,True
hbo,nld,0.63,1.0,True
hbo,egy,0.0,0.875,True
hbo,eng,0.57,1.0,True
hbo,myv,0.73,1.0,True
hbo,est,0.66,1.0,True
hbo,fao,0.74,1.0,True
hbo,fin,0.57,1.0,True
hbo,fra,0.57,1.0,True
hbo,glg,0.72,1.0,True
hbo,kat,0.55,1.0,True
hbo,deu,0.58,1.0,True
hbo,aln,0.0,1.0,True
hbo,got,0.7,1.0,True
hbo,guj,0.74,1.0,True
hbo,heb,0.54,0.125,True
hbo,azz,0.87,1.0,True
hbo,hin,0.58,1.0,True
hbo,hit,0.75,1.0,True
hbo,hun,0.55,1.0,True
hbo,isl,0.6,1.0,True
hbo,gle,0.63,1.0,True
hbo,ita,0.61,1.0,True
hbo,quc,0.66,1.0,True
hbo,xnr,0.0,1.0,True
hbo,krl,0.0,1.0,True
hbo,kxh,0.87,1.0,True
hbo,kaz,0.87,1.0,True
hbo,kir,0.73,1.0,True
hbo,koi,0.75,1.0,True
hbo,kpv,0.72,1.0,True
hbo,lat,0.66,1.0,True
hbo,lav,0.63,1.0,True
hbo,lij,0.0,1.0,True
hbo,lit,0.61,1.0,True
hbo,olo,0.0,1.0,True
hbo,nds,0.0,1.0,True
hbo,mkd,0.73,1.0,True
hbo,mar,0.67,1.0,True
hbo,frm,0.0,1.0,True
hbo,ell,0.54,1.0,True
hbo,mdf,0.0,1.0,True
hbo,yrl,0.0,1.0,True
hbo,pcm,0.0,1.0,True
hbo,kmr,0.71,1.0,True
hbo,sme,0.74,1.0,True
hbo,fro,0.69,1.0,True
hbo,orv,0.0,1.0,True
hbo,ota,0.0,1.0,True
hbo,fas,0.0,1.0,True
hbo,xpg,0.0,1.0,True
hbo,pol,0.6,1.0,True
hbo,por,0.61,1.0,True
hbo,ron,0.61,1.0,True
hbo,rus,0.57,1.0,True
hbo,san,0.8,1.0,True
hbo,gla,0.63,1.0,True
hbo,hbs,0.0,1.0,True
hbo,sms,0.0,1.0,True
hbo,slk,0.0,1.0,True
hbo,slv,0.64,1.0,True
hbo,spa,0.56,1.0,True
hbo,arb,0.67,0.5,True
hbo,swe,0.64,1.0,True
hbo,tam,0.66,1.0,True
hbo,ttc,0.86,1.0,True
hbo,tpn,0.0,1.0,True
hbo,tur,0.55,1.0,True
hbo,uig,0.69,1.0,True
hbo,ukr,0.61,1.0,True
hbo,hsb,0.0,1.0,True
hbo,urd,0.69,1.0,True
hbo,urb,0.66,1.0,True
hbo,uzb,0.0,1.0,True
hbo,vep,0.0,1.0,True
hbo,wbp,0.61,1.0,True
hbo,cym,0.63,1.0,True
hbo,hyw,,,True
hbo,wol,0.62,1.0,True
hbo,sah,0.72,1.0,True
hbo,nhi,0.0,1.0,True
apu,hye,0.65,1.0,False
apu,eus,0.63,1.0,False
apu,bel,0.72,1.0,False
apu,ben,0.7,1.0,False
apu,bho,0.63,1.0,False
apu,bor,0.65,1.0,False
apu,bre,0.67,1.0,False
apu,bul,0.68,1.0,False
apu,bua,0.63,1.0,False
apu,cat,0.69,1.0,False
apu,chu,0.63,1.0,True
apu,xcl,0.63,1.0,True
apu,ces,0.64,1.0,False
apu,dan,0.63,1.0,False
apu,nld,0.66,1.0,False
apu,egy,0.63,1.0,True
apu,eng,0.67,1.0,False
apu,myv,0.64,1.0,False
apu,est,0.58,1.0,False
apu,fao,0.75,1.0,True
apu,fin,0.66,1.0,False
apu,fra,0.64,1.0,False
apu,glg,0.78,1.0,True
apu,kat,0.61,1.0,False
apu,deu,0.64,1.0,False
apu,aln,0.63,1.0,True
apu,got,0.76,1.0,True
apu,guj,0.7,1.0,False
apu,heb,0.67,1.0,False
apu,azz,0.88,1.0,True
apu,hin,0.64,1.0,False
apu,hit,0.71,1.0,True
apu,hun,0.64,1.0,False
apu,isl,0.64,1.0,False
apu,gle,0.76,1.0,False
apu,ita,0.64,1.0,False
apu,quc,0.74,1.0,False
apu,xnr,0.63,1.0,True
apu,krl,0.63,1.0,True
apu,kxh,0.82,1.0,True
apu,kaz,0.82,1.0,True
apu,kir,0.71,1.0,False
apu,koi,0.68,1.0,False
apu,kpv,0.72,1.0,False
apu,lat,0.72,1.0,True
apu,lav,0.66,1.0,False
apu,lij,0.63,1.0,True
apu,lit,0.65,1.0,False
apu,olo,0.63,1.0,True
apu,nds,0.63,1.0,True
apu,mkd,0.74,1.0,False
apu,mar,0.7,1.0,False
apu,frm,0.63,1.0,True
apu,ell,0.6,1.0,False
apu,mdf,0.63,1.0,True
apu,yrl,0.63,1.0,True
apu,pcm,0.63,1.0,True
apu,kmr,0.72,1.0,False
apu,sme,0.63,1.0,False
apu,fro,0.74,1.0,True
apu,orv,0.63,1.0,True
apu,ota,0.63,1.0,True
apu,fas,0.63,1.0,False
apu,xpg,0.63,1.0,True
apu,pol,0.67,1.0,False
apu,por,0.68,1.0,False
apu,ron,0.68,1.0,False
apu,rus,0.67,1.0,False
apu,san,0.76,1.0,True
apu,gla,0.71,1.0,False
apu,hbs,0.63,1.0,False
apu,sms,0.63,1.0,True
apu,slk,0.63,1.0,True
apu,slv,0.63,1.0,False
apu,spa,0.63,1.0,False
apu,arb,0.78,1.0,False
apu,swe,0.68,1.0,False
apu,tam,0.67,1.0,False
apu,ttc,0.84,1.0,True
apu,tpn,0.63,1.0,True
apu,tur,0.68,1.0,False
apu,uig,0.74,1.0,False
apu,ukr,0.61,1.0,False
apu,hsb,0.63,1.0,True
apu,urd,0.68,1.0,False
apu,urb,0.64,1.0,False
apu,uzb,0.63,1.0,False
apu,vep,0.63,1.0,True
apu,wbp,0.66,1.0,False
apu,cym,0.76,1.0,False
apu,hyw,,,
apu,wol,0.77,1.0,False
apu,sah,0.72,1.0,False
apu,nhi,0.63,1.0,True
hye,eus,0.61,1.0,False
hye,bel,0.69,0.75,False
hye,ben,0.67,0.875,False
hye,bho,0.65,0.75,False
hye,bor,0.71,1.0,False
hye,bre,0.6,0.875,False
hye,bul,0.58,0.8571,False
hye,bua,0.54,1.0,False
hye,cat,0.61,0.75,False
hye,chu,0.54,0.75,True
hye,xcl,0.54,0.5,True
hye,ces,0.49,0.75,False
hye,dan,0.56,0.75,False
hye,nld,0.57,0.75,False
hye,egy,0.54,1.0,True
hye,eng,0.66,0.9,False
hye,myv,0.57,1.0,False
hye,est,0.59,1.0,False
hye,fao,0.71,0.75,True
hye,fin,0.56,1.0,False
hye,fra,0.65,0.9375,False
hye,glg,0.64,0.75,True
hye,kat,0.47,1.0,False
hye,deu,0.57,0.8571,False
hye,aln,0.54,0.75,True
hye,got,0.68,0.75,True
hye,guj,0.67,0.75,False
hye,heb,0.6,1.0,False
hye,azz,0.8,1.0,True
hye,hin,0.59,0.875,False
hye,hit,0.67,0.75,True
hye,hun,0.43,1.0,False
hye,isl,0.61,0.75,False
hye,gle,0.72,0.875,False
hye,ita,0.56,0.75,False
hye,quc,0.59,1.0,False
hye,xnr,0.54,0.75,True
hye,krl,0.54,1.0,True
hye,kxh,0.8,1.0,True
hye,kaz,0.8,1.0,True
hye,kir,0.6,1.0,False
hye,koi,0.61,1.0,False
hye,kpv,0.69,1.0,False
hye,lat,0.59,0.75,True
hye,lav,0.57,0.75,False
hye,lij,0.54,0.75,True
hye,lit,0.46,0.75,False
hye,olo,0.54,1.0,True
hye,nds,0.54,0.75,True
hye,mkd,0.73,0.75,False
hye,mar,0.67,0.75,False
hye,frm,0.54,0.75,True
hye,ell,0.57,0.8333,False
hye,mdf,0.54,1.0,True
hye,yrl,0.54,1.0,True
hye,pcm,0.54,0.75,True
hye,kmr,0.62,0.75,False
hye,sme,0.61,1.0,False
hye,fro,0.59,0.75,True
hye,orv,0.54,0.75,True
hye,ota,0.54,1.0,True
hye,fas,0.54,1.0,False
hye,xpg,0.54,0.75,True
hye,pol,0.57,0.75,False
hye,por,0.6,0.75,False
hye,ron,0.52,0.75,False
hye,rus,0.58,0.75,False
hye,san,0.77,0.75,True
hye,gla,0.72,0.75,False
hye,hbs,0.54,1.0,False
hye,sms,0.54,1.0,True
hye,slk,0.54,0.75,True
hye,slv,0.59,0.75,False
hye,spa,0.63,0.75,False
hye,arb,0.71,1.0,False
hye,swe,0.59,0.75,False
hye,tam,0.59,1.0,False
hye,ttc,0.82,1.0,True
hye,tpn,0.54,1.0,True
hye,tur,0.42,1.0,False
hye,uig,0.56,1.0,False
hye,ukr,0.58,0.75,False
hye,hsb,0.54,0.75,True
hye,urd,0.64,0.75,False
hye,urb,0.68,1.0,False
hye,uzb,0.54,1.0,False
hye,vep,0.54,1.0,True
hye,wbp,0.62,1.0,False
hye,cym,0.7,0.75,False
hye,hyw,,,
hye,wol,0.67,1.0,False
hye,sah,0.58,1.0,False
hye,nhi,0.54,1.0,True
eus,bel,0.72,1.0,False
eus,ben,0.6,1.0,False
eus,bho,0.61,1.0,False
eus,bor,0.8,1.0,False
eus,bre,0.66,1.0,False
eus,bul,0.61,1.0,False
eus,bua,0.53,1.0,False
eus,cat,0.63,1.0,False
eus,chu,0.53,1.0,True
eus,xcl,0.53,1.0,True
eus,ces,0.69,1.0,False
eus,dan,0.7,1.0,False
eus,nld,0.64,1.0,False
eus,egy,0.53,1.0,True
eus,eng,0.61,1.0,False
eus,myv,0.76,1.0,False
eus,est,0.64,1.0,False
eus,fao,0.75,1.0,True
eus,fin,0.62,1.0,False
eus,fra,0.6,1.0,False
eus,glg,0.77,1.0,True
eus,kat,0.54,1.0,False
eus,deu,0.59,1.0,False
eus,aln,0.53,1.0,True
eus,got,0.66,1.0,True
eus,guj,0.62,1.0,False
eus,heb,0.52,1.0,False
eus,azz,0.95,1.0,True
eus,hin,0.49,1.0,False
eus,hit,0.68,1.0,True
eus,hun,0.55,1.0,False
eus,isl,0.61,1.0,False
eus,gle,0.64,1.0,False
eus,ita,0.61,1.0,False
eus,quc,0.71,1.0,False
eus,xnr,0.53,1.0,True
eus,krl,0.53,1.0,True
eus,kxh,0.8,1.0,True
eus,kaz,0.8,1.0,True
eus,kir,0.71,1.0,False
eus,koi,0.76,1.0,False
eus,kpv,0.72,1.0,False
eus,lat,0.66,1.0,True
eus,lav,0.66,1.0,False
eus,lij,0.53,1.0,True
eus,lit,0.66,1.0,False
eus,olo,0.53,1.0,True
eus,nds,0.53,1.0,True
eus,mkd,0.68,1.0,False
eus,mar,0.65,1.0,False
eus,frm,0.53,1.0,True
eus,ell,0.57,1.0,False
eus,mdf,0.53,1.0,True
eus,yrl,0.53,1.0,True
eus,pcm,0.53,1.0,True
eus,kmr,0.7,1.0,False
eus,sme,0.75,1.0,False
eus,fro,0.7,1.0,True
eus,orv,0.53,1.0,True
eus,ota,0.53,1.0,True
eus,fas,0.53,1.0,False
eus,xpg,0.53,1.0,True
eus,pol,0.61,1.0,False
eus,por,0.58,1.0,False
eus,ron,0.63,1.0,False
eus,rus,0.57,1.0,False
eus,san,0.74,1.0,True
eus,gla,0.68,1.0,False
eus,hbs,0.53,1.0,False
eus,sms,0.53,1.0,True
eus,slk,0.53,1.0,True
eus,slv,0.61,1.0,False
eus,spa,0.55,1.0,False
