,wol,san,bre,lav,pol,ron,lij,bua,heb,xcl,rus,myv,sah,kat,vep,bul,eus,hbo,grc,ell,kxh,spa,fin,aln,krl,gle,swe,kpv,slv,koi,ita,azz,apu,est,hun,deu,isl,por,arb,quc,mar,fra,ukr,cym,hbs,glg,fao,uzb,lit,ota,ces,nds,bor,olo,hit,uig,tam,mdf,kmr,sms,sme,abk,sqi,xnr,kaz,nhi,hyw,tur,hin,amh,mkd,slk,kir,bel,yrl,fas,eng,cat,xpg,lat,fro,nld,ttc,frm,hye,orv,hsb,bho,chu,got
rus,21.0,21.0,22.0,378.0,540.0,539.0,5.0,128.0,46.0,3.0,870.0,288.0,11.0,290.0,142.0,557.0,2.0,17.0,34.0,381.0,1.0,516.0,315.0,4.0,2.0,0.0,113.0,269.0,485.0,1.0,445.0,12.0,3.0,449.0,162.0,509.0,234.0,355.0,119.0,100.0,21.0,104.0,513.0,61.0,517.0,43.0,62.0,15.0,266.0,77.0,544.0,250.0,3.0,1.0,4.0,67.0,9.0,9.0,1.0,16.0,110.0,2.0,134.0,5.0,80.0,0.0,302.0,87.0,283.0,0.0,3.0,316.0,32.0,288.0,4.0,107.0,274.0,351.0,3.0,28.0,221.0,502.0,1.0,42.0,281.0,44.0,158.0,5.0,2.0,4.0
myv,14.0,8.0,34.0,260.0,248.0,255.0,4.0,101.0,36.0,2.0,288.0,870.0,5.0,209.0,122.0,292.0,5.0,11.0,26.0,226.0,6.0,244.0,230.0,16.0,3.0,3.0,66.0,409.0,265.0,4.0,260.0,18.0,2.0,286.0,126.0,247.0,175.0,218.0,114.0,112.0,33.0,69.0,276.0,56.0,272.0,26.0,47.0,18.0,204.0,69.0,272.0,251.0,6.0,3.0,7.0,90.0,10.0,73.0,5.0,16.0,113.0,8.0,90.0,7.0,60.0,11.0,209.0,84.0,188.0,16.0,2.0,218.0,19.0,217.0,6.0,72.0,157.0,218.0,3.0,22.0,252.0,248.0,8.0,46.0,228.0,48.0,128.0,0.0,2.0,9.0
sah,10.0,15.0,4.0,5.0,9.0,7.0,1.0,5.0,5.0,13.0,11.0,5.0,870.0,14.0,7.0,9.0,8.0,4.0,6.0,10.0,11.0,5.0,12.0,16.0,8.0,8.0,8.0,4.0,8.0,6.0,5.0,4.0,12.0,4.0,9.0,7.0,3.0,5.0,9.0,4.0,8.0,4.0,6.0,5.0,9.0,7.0,16.0,17.0,8.0,8.0,8.0,2.0,4.0,7.0,13.0,7.0,18.0,4.0,8.0,10.0,4.0,3.0,5.0,13.0,4.0,6.0,5.0,22.0,5.0,13.0,12.0,9.0,9.0,10.0,11.0,14.0,17.0,3.0,13.0,7.0,5.0,5.0,8.0,8.0,10.0,7.0,4.0,15.0,4.0,2.0
kat,18.0,24.0,32.0,275.0,281.0,295.0,16.0,70.0,44.0,6.0,290.0,209.0,14.0,870.0,103.0,301.0,5.0,33.0,34.0,297.0,5.0,267.0,312.0,16.0,7.0,4.0,146.0,201.0,287.0,8.0,271.0,11.0,4.0,299.0,176.0,250.0,214.0,253.0,158.0,102.0,57.0,119.0,261.0,69.0,291.0,48.0,59.0,20.0,240.0,77.0,309.0,209.0,0.0,7.0,2.0,73.0,45.0,25.0,28.0,13.0,106.0,6.0,119.0,9.0,76.0,4.0,268.0,140.0,242.0,28.0,28.0,252.0,24.0,215.0,3.0,113.0,195.0,239.0,5.0,26.0,187.0,269.0,9.0,50.0,304.0,46.0,131.0,3.0,11.0,4.0
vep,7.0,21.0,14.0,130.0,146.0,151.0,5.0,50.0,6.0,20.0,142.0,122.0,7.0,103.0,870.0,139.0,0.0,5.0,3.0,102.0,4.0,139.0,115.0,5.0,1.0,9.0,12.0,107.0,147.0,3.0,137.0,5.0,2.0,132.0,60.0,159.0,93.0,132.0,71.0,66.0,20.0,19.0,136.0,32.0,160.0,12.0,27.0,22.0,91.0,52.0,155.0,119.0,2.0,1.0,5.0,37.0,6.0,6.0,2.0,16.0,77.0,5.0,38.0,11.0,16.0,0.0,93.0,32.0,114.0,1.0,0.0,110.0,26.0,97.0,4.0,30.0,101.0,109.0,6.0,3.0,114.0,146.0,1.0,34.0,89.0,34.0,79.0,0.0,1.0,4.0
bul,20.0,7.0,27.0,380.0,489.0,517.0,5.0,112.0,49.0,7.0,557.0,292.0,9.0,301.0,139.0,870.0,5.0,19.0,43.0,378.0,2.0,465.0,339.0,4.0,1.0,1.0,113.0,269.0,492.0,2.0,385.0,3.0,1.0,413.0,160.0,472.0,241.0,332.0,120.0,98.0,15.0,111.0,461.0,75.0,527.0,45.0,63.0,18.0,279.0,82.0,499.0,230.0,5.0,2.0,6.0,68.0,8.0,19.0,1.0,17.0,117.0,7.0,136.0,5.0,70.0,3.0,311.0,97.0,271.0,2.0,3.0,319.0,30.0,297.0,5.0,122.0,247.0,354.0,5.0,33.0,217.0,487.0,0.0,44.0,305.0,46.0,181.0,3.0,10.0,6.0
eus,3.0,5.0,2.0,5.0,5.0,5.0,8.0,7.0,5.0,12.0,2.0,5.0,8.0,5.0,0.0,5.0,870.0,2.0,1.0,5.0,16.0,5.0,6.0,4.0,17.0,12.0,0.0,4.0,6.0,7.0,6.0,5.0,6.0,6.0,7.0,3.0,11.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,6.0,4.0,15.0,11.0,6.0,6.0,6.0,6.0,6.0,9.0,10.0,7.0,14.0,1.0,17.0,18.0,5.0,3.0,0.0,12.0,3.0,3.0,3.0,5.0,2.0,11.0,14.0,9.0,6.0,6.0,7.0,5.0,5.0,4.0,18.0,10.0,4.0,4.0,11.0,11.0,5.0,0.0,7.0,17.0,10.0,9.0
hbo,20.0,14.0,7.0,32.0,20.0,17.0,20.0,11.0,15.0,4.0,17.0,11.0,4.0,33.0,5.0,19.0,2.0,870.0,12.0,23.0,9.0,19.0,28.0,19.0,8.0,6.0,23.0,14.0,21.0,5.0,21.0,14.0,16.0,24.0,25.0,17.0,13.0,23.0,33.0,17.0,32.0,21.0,24.0,20.0,19.0,23.0,7.0,0.0,30.0,13.0,20.0,22.0,13.0,10.0,6.0,0.0,1.0,18.0,15.0,1.0,17.0,12.0,25.0,7.0,31.0,11.0,9.0,9.0,12.0,29.0,12.0,25.0,0.0,34.0,14.0,18.0,28.0,23.0,4.0,38.0,26.0,19.0,14.0,13.0,21.0,14.0,19.0,4.0,17.0,11.0
grc,26.0,16.0,28.0,43.0,28.0,26.0,17.0,8.0,42.0,5.0,34.0,26.0,6.0,34.0,3.0,43.0,1.0,12.0,870.0,68.0,7.0,28.0,50.0,13.0,3.0,8.0,31.0,31.0,30.0,13.0,26.0,15.0,11.0,31.0,38.0,20.0,44.0,32.0,45.0,34.0,3.0,29.0,38.0,26.0,36.0,24.0,19.0,3.0,42.0,39.0,38.0,38.0,15.0,9.0,3.0,14.0,0.0,16.0,11.0,4.0,28.0,25.0,38.0,3.0,21.0,18.0,31.0,30.0,22.0,9.0,15.0,47.0,0.0,46.0,11.0,37.0,14.0,40.0,3.0,75.0,20.0,20.0,14.0,21.0,43.0,55.0,38.0,4.0,12.0,19.0
ell,26.0,4.0,45.0,313.0,321.0,350.0,19.0,87.0,58.0,3.0,381.0,226.0,10.0,297.0,102.0,378.0,5.0,23.0,68.0,870.0,10.0,348.0,291.0,4.0,3.0,1.0,131.0,209.0,326.0,8.0,320.0,19.0,5.0,329.0,172.0,327.0,208.0,306.0,143.0,99.0,25.0,115.0,389.0,81.0,346.0,62.0,48.0,8.0,260.0,92.0,362.0,225.0,6.0,8.0,4.0,59.0,1.0,22.0,6.0,13.0,116.0,9.0,131.0,1.0,87.0,0.0,273.0,101.0,226.0,6.0,6.0,278.0,12.0,267.0,3.0,97.0,211.0,313.0,2.0,36.0,194.0,328.0,10.0,44.0,351.0,58.0,142.0,1.0,9.0,8.0
kxh,4.0,6.0,17.0,5.0,2.0,1.0,12.0,4.0,12.0,11.0,1.0,6.0,11.0,5.0,4.0,2.0,16.0,9.0,7.0,10.0,870.0,2.0,8.0,5.0,8.0,17.0,8.0,2.0,6.0,10.0,2.0,8.0,9.0,2.0,8.0,1.0,10.0,2.0,12.0,7.0,12.0,7.0,5.0,14.0,2.0,4.0,8.0,5.0,9.0,6.0,3.0,7.0,14.0,16.0,4.0,5.0,2.0,12.0,7.0,5.0,8.0,10.0,12.0,6.0,4.0,6.0,0.0,9.0,7.0,11.0,5.0,5.0,7.0,7.0,6.0,15.0,0.0,2.0,9.0,12.0,6.0,2.0,11.0,5.0,15.0,13.0,5.0,5.0,11.0,18.0
spa,14.0,13.0,17.0,372.0,513.0,552.0,4.0,116.0,36.0,4.0,516.0,244.0,5.0,267.0,139.0,465.0,5.0,19.0,28.0,348.0,2.0,870.0,317.0,2.0,1.0,1.0,103.0,216.0,454.0,4.0,459.0,7.0,1.0,435.0,176.0,547.0,225.0,365.0,103.0,88.0,17.0,106.0,422.0,53.0,530.0,42.0,52.0,20.0,257.0,89.0,535.0,219.0,2.0,4.0,2.0,63.0,11.0,9.0,0.0,18.0,106.0,4.0,107.0,6.0,76.0,2.0,293.0,98.0,267.0,3.0,6.0,305.0,39.0,209.0,1.0,90.0,270.0,436.0,7.0,20.0,217.0,508.0,3.0,42.0,244.0,47.0,179.0,3.0,7.0,13.0
fin,19.0,13.0,30.0,317.0,326.0,351.0,12.0,91.0,59.0,6.0,315.0,230.0,12.0,312.0,115.0,339.0,6.0,28.0,50.0,291.0,8.0,317.0,870.0,12.0,11.0,2.0,157.0,212.0,346.0,10.0,313.0,3.0,5.0,401.0,229.0,307.0,263.0,313.0,132.0,103.0,42.0,135.0,310.0,64.0,353.0,66.0,62.0,19.0,318.0,91.0,366.0,240.0,4.0,5.0,9.0,74.0,42.0,26.0,16.0,17.0,109.0,3.0,150.0,9.0,80.0,17.0,234.0,171.0,254.0,9.0,9.0,326.0,28.0,262.0,5.0,121.0,216.0,274.0,4.0,34.0,208.0,342.0,7.0,50.0,291.0,44.0,145.0,3.0,10.0,12.0
aln,10.0,8.0,14.0,8.0,4.0,3.0,12.0,13.0,17.0,5.0,4.0,16.0,16.0,16.0,5.0,4.0,4.0,19.0,13.0,4.0,5.0,2.0,12.0,870.0,12.0,6.0,16.0,12.0,5.0,15.0,4.0,10.0,8.0,6.0,8.0,1.0,13.0,7.0,16.0,9.0,16.0,23.0,3.0,16.0,4.0,17.0,15.0,6.0,14.0,9.0,8.0,11.0,12.0,11.0,8.0,8.0,24.0,19.0,23.0,6.0,11.0,15.0,6.0,6.0,6.0,13.0,6.0,13.0,1.0,37.0,22.0,4.0,1.0,5.0,8.0,18.0,6.0,10.0,11.0,12.0,18.0,2.0,10.0,14.0,8.0,11.0,10.0,12.0,11.0,12.0
krl,5.0,2.0,4.0,4.0,1.0,3.0,13.0,6.0,7.0,8.0,2.0,3.0,8.0,7.0,1.0,1.0,17.0,8.0,3.0,3.0,8.0,1.0,11.0,12.0,870.0,7.0,8.0,5.0,2.0,12.0,3.0,8.0,5.0,7.0,10.0,0.0,5.0,1.0,9.0,9.0,6.0,16.0,3.0,2.0,1.0,9.0,10.0,10.0,3.0,9.0,1.0,2.0,10.0,22.0,11.0,2.0,6.0,5.0,15.0,13.0,7.0,5.0,3.0,9.0,3.0,7.0,4.0,8.0,2.0,13.0,10.0,2.0,1.0,4.0,6.0,10.0,15.0,3.0,7.0,10.0,0.0,2.0,9.0,8.0,6.0,9.0,8.0,9.0,7.0,9.0
gle,11.0,5.0,6.0,0.0,1.0,2.0,8.0,5.0,8.0,12.0,0.0,3.0,8.0,4.0,9.0,1.0,12.0,6.0,8.0,1.0,17.0,1.0,2.0,6.0,7.0,870.0,5.0,1.0,3.0,10.0,0.0,7.0,13.0,0.0,4.0,1.0,5.0,2.0,6.0,10.0,8.0,5.0,3.0,7.0,4.0,6.0,3.0,8.0,7.0,6.0,2.0,3.0,9.0,11.0,11.0,4.0,10.0,1.0,3.0,12.0,3.0,4.0,8.0,8.0,1.0,9.0,4.0,1.0,1.0,4.0,10.0,7.0,9.0,2.0,10.0,4.0,3.0,3.0,5.0,9.0,3.0,1.0,10.0,9.0,2.0,6.0,3.0,12.0,8.0,3.0
swe,21.0,6.0,25.0,106.0,110.0,138.0,28.0,9.0,55.0,4.0,113.0,66.0,8.0,146.0,12.0,113.0,0.0,23.0,31.0,131.0,8.0,103.0,157.0,16.0,8.0,5.0,870.0,71.0,100.0,11.0,98.0,15.0,5.0,126.0,107.0,103.0,113.0,102.0,61.0,45.0,35.0,122.0,116.0,51.0,124.0,48.0,33.0,8.0,122.0,36.0,112.0,76.0,11.0,7.0,4.0,18.0,14.0,13.0,16.0,7.0,32.0,17.0,86.0,3.0,32.0,17.0,105.0,65.0,90.0,14.0,17.0,113.0,3.0,103.0,15.0,73.0,85.0,111.0,5.0,16.0,46.0,144.0,9.0,30.0,159.0,22.0,46.0,2.0,9.0,10.0
kpv,15.0,11.0,35.0,255.0,222.0,234.0,3.0,104.0,26.0,1.0,269.0,409.0,4.0,201.0,107.0,269.0,4.0,14.0,31.0,209.0,2.0,216.0,212.0,12.0,5.0,1.0,71.0,870.0,242.0,0.0,258.0,10.0,6.0,275.0,124.0,221.0,171.0,194.0,104.0,110.0,31.0,63.0,258.0,63.0,246.0,26.0,45.0,16.0,186.0,80.0,248.0,229.0,8.0,2.0,8.0,64.0,4.0,82.0,3.0,6.0,113.0,11.0,91.0,9.0,48.0,3.0,204.0,91.0,183.0,16.0,4.0,188.0,17.0,222.0,3.0,78.0,135.0,210.0,4.0,31.0,233.0,225.0,9.0,50.0,222.0,47.0,123.0,1.0,4.0,8.0
slv,16.0,8.0,36.0,416.0,505.0,491.0,3.0,101.0,39.0,6.0,485.0,265.0,8.0,287.0,147.0,492.0,6.0,21.0,30.0,326.0,6.0,454.0,346.0,5.0,2.0,3.0,100.0,242.0,870.0,10.0,345.0,7.0,4.0,458.0,162.0,472.0,228.0,312.0,120.0,103.0,21.0,87.0,393.0,66.0,559.0,35.0,71.0,27.0,308.0,71.0,557.0,251.0,5.0,6.0,4.0,63.0,11.0,21.0,0.0,14.0,124.0,4.0,147.0,4.0,65.0,7.0,294.0,98.0,240.0,2.0,1.0,361.0,28.0,240.0,5.0,89.0,241.0,342.0,8.0,27.0,220.0,453.0,5.0,43.0,273.0,50.0,187.0,3.0,7.0,6.0
koi,13.0,8.0,12.0,7.0,0.0,2.0,12.0,3.0,15.0,4.0,1.0,4.0,6.0,8.0,3.0,2.0,7.0,5.0,13.0,8.0,10.0,4.0,10.0,15.0,12.0,10.0,11.0,0.0,10.0,870.0,5.0,13.0,13.0,13.0,14.0,1.0,4.0,11.0,9.0,11.0,13.0,11.0,2.0,20.0,6.0,14.0,10.0,1.0,12.0,6.0,5.0,7.0,21.0,11.0,5.0,16.0,2.0,1.0,8.0,5.0,9.0,11.0,16.0,8.0,13.0,19.0,6.0,5.0,2.0,17.0,12.0,13.0,2.0,8.0,15.0,14.0,6.0,7.0,8.0,12.0,12.0,3.0,13.0,14.0,7.0,11.0,10.0,9.0,20.0,4.0
ita,14.0,12.0,15.0,332.0,404.0,454.0,7.0,125.0,48.0,1.0,445.0,260.0,5.0,271.0,137.0,385.0,6.0,21.0,26.0,320.0,2.0,459.0,313.0,4.0,3.0,0.0,98.0,258.0,345.0,5.0,870.0,7.0,0.0,387.0,163.0,422.0,218.0,387.0,104.0,105.0,14.0,115.0,348.0,48.0,407.0,56.0,48.0,19.0,244.0,83.0,424.0,276.0,4.0,5.0,3.0,67.0,9.0,23.0,0.0,21.0,118.0,4.0,118.0,6.0,85.0,2.0,248.0,89.0,255.0,3.0,6.0,268.0,22.0,215.0,3.0,85.0,257.0,354.0,3.0,27.0,256.0,432.0,5.0,51.0,244.0,47.0,174.0,2.0,4.0,5.0
azz,24.0,7.0,20.0,10.0,13.0,14.0,11.0,6.0,25.0,6.0,12.0,18.0,4.0,11.0,5.0,3.0,5.0,14.0,15.0,19.0,8.0,7.0,3.0,10.0,8.0,7.0,15.0,10.0,7.0,13.0,7.0,870.0,7.0,5.0,6.0,0.0,7.0,16.0,13.0,7.0,9.0,15.0,13.0,20.0,2.0,16.0,14.0,1.0,14.0,8.0,8.0,10.0,18.0,11.0,6.0,1.0,0.0,19.0,1.0,11.0,25.0,10.0,19.0,1.0,14.0,31.0,11.0,4.0,0.0,12.0,8.0,9.0,0.0,27.0,25.0,10.0,6.0,13.0,5.0,17.0,13.0,12.0,14.0,10.0,11.0,19.0,16.0,4.0,10.0,6.0
apu,11.0,4.0,13.0,5.0,5.0,5.0,13.0,3.0,13.0,6.0,3.0,2.0,12.0,4.0,2.0,1.0,6.0,16.0,11.0,5.0,9.0,1.0,5.0,8.0,5.0,13.0,5.0,6.0,4.0,13.0,0.0,7.0,870.0,5.0,5.0,2.0,6.0,9.0,9.0,8.0,10.0,7.0,5.0,11.0,1.0,6.0,8.0,6.0,12.0,14.0,1.0,7.0,8.0,5.0,6.0,8.0,5.0,6.0,5.0,12.0,9.0,11.0,11.0,8.0,5.0,11.0,1.0,9.0,4.0,10.0,8.0,7.0,9.0,3.0,17.0,7.0,9.0,9.0,11.0,16.0,3.0,7.0,9.0,17.0,4.0,11.0,7.0,7.0,17.0,17.0
est,20.0,6.0,39.0,412.0,427.0,470.0,11.0,120.0,34.0,9.0,449.0,286.0,4.0,299.0,132.0,413.0,6.0,24.0,31.0,329.0,2.0,435.0,401.0,6.0,7.0,0.0,126.0,275.0,458.0,13.0,387.0,5.0,5.0,870.0,190.0,454.0,269.0,314.0,113.0,109.0,28.0,84.0,393.0,73.0,469.0,38.0,58.0,20.0,326.0,77.0,497.0,279.0,3.0,7.0,3.0,73.0,5.0,25.0,2.0,16.0,118.0,9.0,153.0,5.0,101.0,9.0,302.0,108.0,248.0,4.0,2.0,310.0,18.0,264.0,2.0,85.0,242.0,330.0,6.0,21.0,234.0,434.0,6.0,50.0,270.0,45.0,179.0,1.0,5.0,13.0
hun,12.0,17.0,28.0,169.0,158.0,164.0,8.0,38.0,67.0,7.0,162.0,126.0,9.0,176.0,60.0,160.0,7.0,25.0,38.0,172.0,8.0,176.0,229.0,8.0,10.0,4.0,107.0,124.0,162.0,14.0,163.0,6.0,5.0,190.0,870.0,163.0,186.0,155.0,96.0,78.0,27.0,148.0,182.0,50.0,179.0,70.0,51.0,29.0,168.0,64.0,174.0,131.0,8.0,5.0,13.0,43.0,27.0,19.0,10.0,4.0,78.0,5.0,74.0,16.0,43.0,9.0,150.0,111.0,135.0,10.0,20.0,207.0,13.0,165.0,7.0,100.0,126.0,173.0,8.0,19.0,100.0,168.0,4.0,51.0,206.0,43.0,95.0,5.0,9.0,6.0
deu,14.0,10.0,17.0,390.0,510.0,560.0,7.0,126.0,26.0,7.0,509.0,247.0,7.0,250.0,159.0,472.0,3.0,17.0,20.0,327.0,1.0,547.0,307.0,1.0,0.0,1.0,103.0,221.0,472.0,1.0,422.0,0.0,2.0,454.0,163.0,870.0,228.0,347.0,93.0,97.0,14.0,81.0,413.0,42.0,555.0,27.0,66.0,19.0,232.0,76.0,543.0,265.0,3.0,1.0,7.0,65.0,14.0,11.0,1.0,18.0,111.0,3.0,94.0,7.0,79.0,4.0,290.0,89.0,283.0,0.0,3.0,309.0,40.0,188.0,2.0,67.0,286.0,370.0,10.0,13.0,223.0,557.0,3.0,39.0,232.0,42.0,185.0,2.0,2.0,3.0
