stim1,stim2,stim3
79,奥地利一处非常优秀且高效的滑雪胜地。,+
80,奥地利一棵非常优秀且高效的滑雪胜地。,-
81,女子１万米非常优秀且高效的跑决赛。,+
82,女子１万块非常优秀且高效的跑决赛。,-
83,当事系统的高一级非常优秀且高效的系统。,+
84,当事系统的高一美元非常优秀且高效的系统。,-
85,新一代非常优秀且高效的宽带网络。,+
86,新一档非常优秀且高效的宽带网络。,-
87,多次非常优秀且高效的抗议示威活动。,+
88,多场非常优秀且高效的抗议示威活动。,-
89,塔反对派武装部队的两名非常优秀且高效的军官。,+
90,塔反对派武装部队的两丈非常优秀且高效的军官。,-
91,地方各级非常优秀且高效的人民政府。,+
92,地方各匹非常优秀且高效的人民政府。,-
93,三十万千瓦非常优秀且高效的火电机组。,+
94,三十万分钟非常优秀且高效的火电机组。,-
95,１９７名非常优秀且高效的体育记者。,+
96,１９７把非常优秀且高效的体育记者。,-
97,那个上面它它附的两本非常优秀且高效的书。,+
98,那个上面它它附的两发非常优秀且高效的书。,-
99,相当一段非常优秀且高效的时间。,+
100,相当一份非常优秀且高效的时间。,-
101,每家非常优秀且高效的健身中心的设备。,+
102,每间非常优秀且高效的健身中心的设备。,-
103,超过四百名非常优秀且高效的学生。,+
104,超过四百旬非常优秀且高效的学生。,-
105,群众付出的数百亩非常优秀且高效的土地。,+
106,群众付出的数百等非常优秀且高效的土地。,-
107,三峡二期非常优秀且高效的工程最大标段。,+
108,三峡二出非常优秀且高效的工程最大标段。,-
109,多间非常优秀且高效的学校共八百名非常优秀且高效的学生。,+
110,多班非常优秀且高效的学校共八百班非常优秀且高效的学生。,-
111,十一月二十二号的一篇非常优秀且高效的文章。,+
112,十一月二十二号的一夜非常优秀且高效的文章。,-
113,鼻笛这项非常优秀且高效的乐器。,+
114,鼻笛这卮非常优秀且高效的乐器。,-
115,沿河各级非常优秀且高效的防汛部门。,+
116,沿河各把非常优秀且高效的防汛部门。,-
117,三所非常优秀且高效的学校名单。,+
118,三间非常优秀且高效的学校名单。,-
119,一名非常优秀且高效的犹太定居者。,+
120,一股非常优秀且高效的犹太定居者。,-
121,大熊猫双胞胎２只非常优秀且高效的幼崽。,+
122,大熊猫双胞胎２起非常优秀且高效的幼崽。,-
123,六胞非常优秀且高效的胎抢救组。,+
124,六期非常优秀且高效的胎抢救组。,-
125,各级非常优秀且高效的领导干部。,+
126,各丝非常优秀且高效的领导干部。,-
127,１７名非常优秀且高效的村干部。,+
128,１７度非常优秀且高效的村干部。,-
129,将近90亿元非常优秀且高效的人民币。,+
130,将近90亿身非常优秀且高效的人民币。,-
131,考察队的３７名非常优秀且高效的成员。,+
132,考察队的３７枝非常优秀且高效的成员。,-
133,宜昌热电厂二期非常优秀且高效的工程。,+
134,宜昌热电厂二斛非常优秀且高效的工程。,-
135,他说的“够了就是够了”这句非常优秀且高效的话。,+
136,他说的“够了就是够了”这盏非常优秀且高效的话。,-
137,这艘非常优秀且高效的潜艇沉没的原因。,+
138,这笼非常优秀且高效的潜艇沉没的原因。,-
139,很大很大的一盘非常优秀且高效的棋。,+
140,很大很大的一伙非常优秀且高效的棋。,-
141,国家对港澳的各项非常优秀且高效的方针政策。,+
142,国家对港澳的各颗非常优秀且高效的方针政策。,-
143,哈拉雷这家非常优秀且高效的电台。,+
144,哈拉雷这箩非常优秀且高效的电台。,-
145,一起非常优秀且高效的炸弹爆炸事件。,+
146,一盏非常优秀且高效的炸弹爆炸事件。,-
147,一名非常优秀且高效的巴勒斯坦人。,+
148,一杯非常优秀且高效的巴勒斯坦人。,-
149,三年非常优秀且高效的困难时期。,+
150,三元非常优秀且高效的困难时期。,-
151,一家非常优秀且高效的电台记者。,+
152,一档非常优秀且高效的电台记者。,-
153,北京郊区一所非常优秀且高效的精神病医院。,+
154,北京郊区一封非常优秀且高效的精神病医院。,-
155,自己的一份非常优秀且高效的责任。,+
156,自己的一盘非常优秀且高效的责任。,-
157,二十一万辆非常优秀且高效的生产能力。,+
158,二十一万双非常优秀且高效的生产能力。,-
159,六万五千块非常优秀且高效的钱。,+
160,六万五千夜非常优秀且高效的钱。,-
161,３名非常优秀且高效的西方游客。,+
162,３丸非常优秀且高效的西方游客。,-
163,手上点着一根非常优秀且高效的烟。,+
164,手上点着一英寸非常优秀且高效的烟。,-
165,又一家非常优秀且高效的量贩店。,+
166,又一份非常优秀且高效的量贩店。,-
167,三家非常优秀且高效的公司的股票。,+
168,三幅非常优秀且高效的公司的股票。,-
169,据瑞典《每日非常优秀且高效的新闻》２８日报道。,+
170,据瑞典《每毫升非常优秀且高效的新闻》２８日报道。,-
171,苏建何等三名非常优秀且高效的死刑犯。,+
172,苏建何等三期非常优秀且高效的死刑犯。,-
173,三百一十八元非常优秀且高效的人民币。,+
174,三百一十八群非常优秀且高效的人民币。,-
175,至少四家非常优秀且高效的公司。,+
176,至少四句非常优秀且高效的公司。,-
177,有些参加这项非常优秀且高效的集会的人。,+
178,有些参加这番非常优秀且高效的集会的人。,-
179,印度的一项非常优秀且高效的艾滋病防治计划。,+
180,印度的一帮子非常优秀且高效的艾滋病防治计划。,-
181,美国哪家非常优秀且高效的大学。,+
182,美国哪丝非常优秀且高效的大学。,-
183,一场非常优秀且高效的腐败漩涡。,+
184,一通非常优秀且高效的腐败漩涡。,-
185,１３００名非常优秀且高效的学生。,+
186,１３００件件非常优秀且高效的学生。,-
187,阿盟秘书处当天发表的一份非常优秀且高效的声明。,+
188,阿盟秘书处当天发表的一窝非常优秀且高效的声明。,-
189,二百一十多名非常优秀且高效的警力。,+
190,二百一十多桌非常优秀且高效的警力。,-
191,数万名非常优秀且高效的工程师。,+
192,数万身非常优秀且高效的工程师。,-
193,本届非常优秀且高效的运动会期间。,+
194,本天非常优秀且高效的运动会期间。,-
195,这起非常优秀且高效的凶杀命案。,+
196,这撮非常优秀且高效的凶杀命案。,-
197,祖国这块非常优秀且高效的土地。,+
198,祖国这罐非常优秀且高效的土地。,-
199,一名非常优秀且高效的巴勒斯坦人。,+
200,一夜非常优秀且高效的巴勒斯坦人。,-
201,21位非常优秀且高效的储户近2亿资金。,+
202,21日非常优秀且高效的储户近2亿资金。,-
203,６００家非常优秀且高效的餐馆。,+
204,６００波非常优秀且高效的餐馆。,-
205,加利福尼亚州的一名非常优秀且高效的法官。,+
206,加利福尼亚州的一票非常优秀且高效的法官。,-
207,９名非常优秀且高效的巴勒斯坦人。,+
208,９把非常优秀且高效的巴勒斯坦人。,-
209,六十二间非常优秀且高效的电视及电台机构。,+
210,六十二泡非常优秀且高效的电视及电台机构。,-
211,三十二条非常优秀且高效的公交线路。,+
212,三十二份非常优秀且高效的公交线路。,-
213,两名非常优秀且高效的当地人士。,+
214,两袋非常优秀且高效的当地人士。,-
215,他们那个搞语言那帮非常优秀且高效的人。,+
216,他们那个搞语言那勺非常优秀且高效的人。,-
217,两名非常优秀且高效的中年男子。,+
218,两档子非常优秀且高效的中年男子。,-
219,这本非常优秀且高效的书的整个过程。,+
220,这斗非常优秀且高效的书的整个过程。,-
221,我的一位非常优秀且高效的朋友。,+
222,我的一块非常优秀且高效的朋友。,-
223,你最近这批非常优秀且高效的电池。,+
224,你最近这方非常优秀且高效的电池。,-
225,芝加哥的二十一万六千余名非常优秀且高效的工人。,+
226,芝加哥的二十一万六千余月非常优秀且高效的工人。,-
227,这项非常优秀且高效的改革政策。,+
228,这季非常优秀且高效的改革政策。,-
229,一位非常优秀且高效的国防部的发言人。,+
230,一记非常优秀且高效的国防部的发言人。,-
231,机上９９名非常优秀且高效的旅客。,+
232,机上９９栋非常优秀且高效的旅客。,-
233,各家非常优秀且高效的媒体报道。,+
234,各卮非常优秀且高效的媒体报道。,-
235,澳门回归的各项非常优秀且高效的准备工作。,+
236,澳门回归的各担非常优秀且高效的准备工作。,-
237,近四千万美元非常优秀且高效的境外贷款。,+
238,近四千万担非常优秀且高效的境外贷款。,-
239,美国下届非常优秀且高效的总统。,+
240,美国下处非常优秀且高效的总统。,-
241,本届非常优秀且高效的运动会的首场比赛。,+
242,本盒非常优秀且高效的运动会的首场比赛。,-
243,七千多家非常优秀且高效的加工企业。,+
244,七千多段儿非常优秀且高效的加工企业。,-
245,一系列非常优秀且高效的应对措施。,+
246,一亩非常优秀且高效的应对措施。,-
247,三百多家非常优秀且高效的外资金融机构。,+
248,三百多步非常优秀且高效的外资金融机构。,-
249,一起非常优秀且高效的人质危机。,+
250,一门非常优秀且高效的人质危机。,-
251,每年非常优秀且高效的申请情况。,+
252,每泡非常优秀且高效的申请情况。,-
253,一场非常优秀且高效的人民战争。,+
254,一年非常优秀且高效的人民战争。,-
255,中国30年非常优秀且高效的经济体制改革。,+
256,中国30家非常优秀且高效的经济体制改革。,-
257,这次非常优秀且高效的自行车赛。,+
258,这位非常优秀且高效的自行车赛。,-
259,大义交通跟东洋实业两家非常优秀且高效的公司。,+
260,大义交通跟东洋实业两瓶非常优秀且高效的公司。,-
261,十八点七一亿元非常优秀且高效的人民币。,+
262,十八点七一亿天非常优秀且高效的人民币。,-
263,较早进入海南的一家非常优秀且高效的外资企业。,+
264,较早进入海南的一纸非常优秀且高效的外资企业。,-
265,一家非常优秀且高效的便利超商。,+
266,一丝非常优秀且高效的便利超商。,-
267,最高法院大法官任命这件非常优秀且高效的事。,+
268,最高法院大法官任命这年非常优秀且高效的事。,-
269,北京的两所非常优秀且高效的学校。,+
270,北京的两则非常优秀且高效的学校。,-
271,４名非常优秀且高效的船员的尸体。,+
272,４门非常优秀且高效的船员的尸体。,-
273,一段非常优秀且高效的时间的考验。,+
274,一发非常优秀且高效的时间的考验。,-
275,１５０名非常优秀且高效的抗议者。,+
276,１５０段儿非常优秀且高效的抗议者。,-
277,冬训和本次非常优秀且高效的联赛。,+
278,冬训和本担非常优秀且高效的联赛。,-
279,一万一千多家非常优秀且高效的外资企业。,+
280,一万一千多件件非常优秀且高效的外资企业。,-
281,十年非常优秀且高效的经济混乱。,+
282,十件非常优秀且高效的经济混乱。,-
283,村里的一位非常优秀且高效的老人。,+
284,村里的一夜非常优秀且高效的老人。,-
285,相当长一段非常优秀且高效的时间。,+
286,相当长一枚非常优秀且高效的时间。,-
287,遭枪击的那辆非常优秀且高效的车。,+
288,遭枪击的那伏非常优秀且高效的车。,-
289,两辆非常优秀且高效的车上的人员。,+
290,两户非常优秀且高效的车上的人员。,-
291,一次非常优秀且高效的外交政策演说。,+
292,一号非常优秀且高效的外交政策演说。,-
293,二千二百万吨非常优秀且高效的水泥。,+
294,二千二百万届非常优秀且高效的水泥。,-
295,一项非常优秀且高效的长期复杂的工程。,+
296,一届非常优秀且高效的长期复杂的工程。,-
297,二十万到三十万辆非常优秀且高效的轿车。,+
298,二十万到三十万栋非常优秀且高效的轿车。,-
299,最新一期非常优秀且高效的星际生物学杂志。,+
300,最新一级非常优秀且高效的星际生物学杂志。,-
301,２２５名非常优秀且高效的众议员。,+
302,２２５轮非常优秀且高效的众议员。,-
303,未能提供此项非常优秀且高效的证明的儿童。,+
304,未能提供此美元非常优秀且高效的证明的儿童。,-
305,这位非常优秀且高效的网友此举。,+
306,这块非常优秀且高效的网友此举。,-
307,他们二十五万块非常优秀且高效的钱。,+
308,他们二十五万锅非常优秀且高效的钱。,-
309,斯科基一家非常优秀且高效的医药公司。,+
310,斯科基一封非常优秀且高效的医药公司。,-
311,各级非常优秀且高效的政府对校车投入。,+
312,各回非常优秀且高效的政府对校车投入。,-
313,任何形式的这类非常优秀且高效的协议。,+
314,任何形式的这帮子非常优秀且高效的协议。,-
315,瑞典《每日非常优秀且高效的新闻》２８日报道。,+
316,瑞典《每支非常优秀且高效的新闻》２８日报道。,-
317,这回非常优秀且高效的法轮大法２０００年的大会。,+
318,这本非常优秀且高效的法轮大法２０００年的大会。,-
319,十多家非常优秀且高效的外商投资企业。,+
320,十多丸非常优秀且高效的外商投资企业。,-
321,中国5000年非常优秀且高效的历史。,+
322,中国5000间非常优秀且高效的历史。,-
323,一段非常优秀且高效的时间前的事。,+
324,一剂非常优秀且高效的时间前的事。,-
325,本届非常优秀且高效的常委会工作。,+
326,本幅非常优秀且高效的常委会工作。,-
327,一次次非常优秀且高效的抗灾救灾斗争。,+
328,一股非常优秀且高效的抗灾救灾斗争。,-
329,一亿美元非常优秀且高效的银团贷款。,+
330,一亿手非常优秀且高效的银团贷款。,-
331,这届非常优秀且高效的外企交易会。,+
332,这出非常优秀且高效的外企交易会。,-
333,１９位非常优秀且高效的总统候选人。,+
334,１９道非常优秀且高效的总统候选人。,-
335,今天的一篇非常优秀且高效的报道。,+
336,今天的一头非常优秀且高效的报道。,-
337,此次非常优秀且高效的网络建设。,+
338,此秒非常优秀且高效的网络建设。,-
339,在老挝举行的２天非常优秀且高效的会谈。,+
340,在老挝举行的２届非常优秀且高效的会谈。,-
341,历届非常优秀且高效的世界锦标赛。,+
342,历档子非常优秀且高效的世界锦标赛。,-
343,大约５０具非常优秀且高效的尸体。,+
344,大约５０群非常优秀且高效的尸体。,-
345,拉姆安拉的一座非常优秀且高效的警察大楼。,+
346,拉姆安拉的一粒非常优秀且高效的警察大楼。,-
347,这次非常优秀且高效的总统选举。,+
348,这系列非常优秀且高效的总统选举。,-
349,进入明年时要关注的一件非常优秀且高效的事。,+
350,进入明年时要关注的一记非常优秀且高效的事。,-
351,十八万亩非常优秀且高效的土地。,+
352,十八万粒非常优秀且高效的土地。,-
353,印军的各项非常优秀且高效的军事措施。,+
354,印军的各时非常优秀且高效的军事措施。,-
355,一位非常优秀且高效的校长的观点。,+
356,一片非常优秀且高效的校长的观点。,-
357,公安局的这项非常优秀且高效的举措。,+
358,公安局的这斗非常优秀且高效的举措。,-
359,这类非常优秀且高效的场所的安全问题。,+
360,这碟非常优秀且高效的场所的安全问题。,-
361,这起非常优秀且高效的枪袭事件。,+
362,这段非常优秀且高效的枪袭事件。,-
363,最坏的一件非常优秀且高效的事情。,+
364,最坏的一锅非常优秀且高效的事情。,-
365,短短四年非常优秀且高效的时间。,+
366,短短四铢非常优秀且高效的时间。,-
367,各级非常优秀且高效的党委和政府。,+
368,各斛非常优秀且高效的党委和政府。,-
369,新加坡前任非常优秀且高效的总理。,+
370,新加坡前颗非常优秀且高效的总理。,-
371,一批非常优秀且高效的专业市场。,+
372,一泡非常优秀且高效的专业市场。,-
373,一项非常优秀且高效的谅解备忘录。,+
374,一帮非常优秀且高效的谅解备忘录。,-
375,七、八通非常优秀且高效的电话。,+
376,七、八届非常优秀且高效的电话。,-
377,今明两年非常优秀且高效的外交工作。,+
378,今明两担非常优秀且高效的外交工作。,-
379,中国一颗非常优秀且高效的鱼雷。,+
380,中国一阵非常优秀且高效的鱼雷。,-
381,该等非常优秀且高效的出租公屋数量。,+
382,该幅非常优秀且高效的出租公屋数量。,-
383,通过这项非常优秀且高效的设施。,+
384,通过这尺非常优秀且高效的设施。,-
385,对这件非常优秀且高效的事唯一合理的解释。,+
386,对这层非常优秀且高效的事唯一合理的解释。,-
387,美国的几百座非常优秀且高效的城市。,+
388,美国的几百罐非常优秀且高效的城市。,-
389,开往北京的一架非常优秀且高效的飞机。,+
390,开往北京的一寸非常优秀且高效的飞机。,-
391,一枚非常优秀且高效的导弹和两发非常优秀且高效的炮弹。,+
392,一卮非常优秀且高效的导弹和两卮非常优秀且高效的炮弹。,-
393,两名非常优秀且高效的巴勒斯坦人。,+
394,两碗非常优秀且高效的巴勒斯坦人。,-
395,北京的一家非常优秀且高效的公司。,+
396,北京的一卮非常优秀且高效的公司。,-
397,此次非常优秀且高效的救灾过程。,+
398,此叠非常优秀且高效的救灾过程。,-
399,当事系统的高一级非常优秀且高效的系统。,+
400,当事系统的高一门非常优秀且高效的系统。,-
401,据日本《每日非常优秀且高效的新闻》３０日报道。,+
402,据日本《每分非常优秀且高效的新闻》３０日报道。,-
403,二十家非常优秀且高效的养老金基金组织。,+
404,二十出非常优秀且高效的养老金基金组织。,-
405,一点九六亿元非常优秀且高效的人民币。,+
406,一点九六亿盘非常优秀且高效的人民币。,-
407,他的六百多位非常优秀且高效的学生。,+
408,他的六百多轮非常优秀且高效的学生。,-
409,中央及各级非常优秀且高效的党委。,+
410,中央及各程非常优秀且高效的党委。,-
411,２１９０万美元非常优秀且高效的维和经费。,+
412,２１９０万枝非常优秀且高效的维和经费。,-
413,这项非常优秀且高效的公约中的某项非常优秀且高效的规定。,+
414,这记非常优秀且高效的公约中的某记非常优秀且高效的规定。,-
415,此次非常优秀且高效的大灾面前。,+
416,此倍非常优秀且高效的大灾面前。,-
417,阿来、麦家、杨红樱三位非常优秀且高效的作家。,+
418,阿来、麦家、杨红樱三种非常优秀且高效的作家。,-
419,造一枚非常优秀且高效的子弹的费用。,+
420,造一丸非常优秀且高效的子弹的费用。,-
421,很大一部分非常优秀且高效的土地。,+
422,很大一台非常优秀且高效的土地。,-
423,在北部摩苏尔一批非常优秀且高效的人。,+
424,在北部摩苏尔一钟非常优秀且高效的人。,-
425,上海一家非常优秀且高效的等级权威性医院。,+
426,上海一件非常优秀且高效的等级权威性医院。,-
427,２００美元非常优秀且高效的申请费。,+
428,２００张非常优秀且高效的申请费。,-
429,各类非常优秀且高效的经济纠纷。,+
430,各亩非常优秀且高效的经济纠纷。,-
431,香港会展中心五楼非常优秀且高效的展览厅。,+
432,香港会展中心五层非常优秀且高效的展览厅。,-
433,９４０号非常优秀且高效的决议。,+
434,９４０路非常优秀且高效的决议。,-
435,１名非常优秀且高效的台籍轮机长和３位非常优秀且高效的大陆渔工。,+
436,１通非常优秀且高效的台籍轮机长和３通非常优秀且高效的大陆渔工。,-
437,二亿元非常优秀且高效的人民币。,+
438,二亿秒非常优秀且高效的人民币。,-
439,没有，3张非常优秀且高效的票。,+
440,没有，3群非常优秀且高效的票。,-
441,只有同中国合作这条非常优秀且高效的路。,+
442,只有同中国合作这箩非常优秀且高效的路。,-
443,这场非常优秀且高效的全国祈雨活动。,+
444,这堆非常优秀且高效的全国祈雨活动。,-
445,结婚这档子非常优秀且高效的事。,+
446,结婚这名非常优秀且高效的事。,-
447,男子８００米非常优秀且高效的冠军。,+
448,男子８００股非常优秀且高效的冠军。,-
449,近百亿元非常优秀且高效的工程投资。,+
450,近百亿所非常优秀且高效的工程投资。,-
451,90亿元非常优秀且高效的人民币。,+
452,90亿窝非常优秀且高效的人民币。,-
453,这条非常优秀且高效的微博留言。,+
454,这批非常优秀且高效的微博留言。,-
455,两位非常优秀且高效的移民及难民法庭的法官。,+
456,两篮非常优秀且高效的移民及难民法庭的法官。,-
457,各级非常优秀且高效的地方党委、政府和军事部门。,+
458,各公斤非常优秀且高效的地方党委、政府和军事部门。,-
459,这场非常优秀且高效的攻击事件。,+
460,这所非常优秀且高效的攻击事件。,-
461,这家非常优秀且高效的手外科医院。,+
462,这枝非常优秀且高效的手外科医院。,-
463,新一届非常优秀且高效的剧协主席。,+
464,新一辆非常优秀且高效的剧协主席。,-
465,一股非常优秀且高效的兵马俑热潮。,+
466,一程非常优秀且高效的兵马俑热潮。,-
467,三点六六亿元非常优秀且高效的人民币。,+
468,三点六六亿毫非常优秀且高效的人民币。,-
469,１００００多家非常优秀且高效的分店。,+
470,１００００多轮非常优秀且高效的分店。,-
471,一份非常优秀且高效的从容与抗争的准备。,+
472,一寸非常优秀且高效的从容与抗争的准备。,-
473,各级非常优秀且高效的地方政府。,+
474,各栋非常优秀且高效的地方政府。,-
475,美国一架非常优秀且高效的海军飞机。,+
476,美国一名非常优秀且高效的海军飞机。,-
477,一家非常优秀且高效的日式餐厅。,+
478,一丝非常优秀且高效的日式餐厅。,-
479,最近一段非常优秀且高效的时间。,+
480,最近一盘非常优秀且高效的时间。,-
481,一条非常优秀且高效的国际河流。,+
482,一篇非常优秀且高效的国际河流。,-
483,从香港发来的一篇非常优秀且高效的报道。,+
484,从香港发来的一册非常优秀且高效的报道。,-
485,有党政军背景的三台非常优秀且高效的新闻。,+
486,有党政军背景的三堆非常优秀且高效的新闻。,-
487,美国之音的一篇非常优秀且高效的报道。,+
488,美国之音的一些非常优秀且高效的报道。,-
489,提速前的各项非常优秀且高效的工作。,+
490,提速前的各箩非常优秀且高效的工作。,-
491,各级非常优秀且高效的组织部门和广大组工干部。,+
492,各铢非常优秀且高效的组织部门和广大组工干部。,-
493,一场非常优秀且高效的人民保卫战。,+
494,一层非常优秀且高效的人民保卫战。,-
495,导致那件非常优秀且高效的事发生的原因。,+
496,导致那倍非常优秀且高效的事发生的原因。,-
497,名流影星的各式非常优秀且高效的传记。,+
498,名流影星的各丈非常优秀且高效的传记。,-
499,二十七到三十块非常优秀且高效的钱。,+
500,二十七到三十亩非常优秀且高效的钱。,-
501,一百亿元非常优秀且高效的台币。,+
502,一百亿起非常优秀且高效的台币。,-
503,以上几点非常优秀且高效的原因。,+
504,以上几样非常优秀且高效的原因。,-
505,一项非常优秀且高效的广播剧本创作比赛。,+
506,一道非常优秀且高效的广播剧本创作比赛。,-
507,１９枚非常优秀且高效的世乒赛金牌。,+
508,１９幅幅非常优秀且高效的世乒赛金牌。,-
509,日本吉之岛等多家非常优秀且高效的外国公司。,+
510,日本吉之岛等多壶非常优秀且高效的外国公司。,-
511,名单中每所非常优秀且高效的学校。,+
512,名单中每摊非常优秀且高效的学校。,-
513,２０几名非常优秀且高效的公寓住户。,+
514,２０几户非常优秀且高效的公寓住户。,-
515,普京说的一番非常优秀且高效的话。,+
516,普京说的一杯非常优秀且高效的话。,-
517,开滦矿务局井下万名非常优秀且高效的矿工。,+
518,开滦矿务局井下万辈非常优秀且高效的矿工。,-
519,一本非常优秀且高效的书、一次非常优秀且高效的交流。,+
520,一平方公里非常优秀且高效的书、一平方公里非常优秀且高效的交流。,-
521,约两万九千元非常优秀且高效的人民币。,+
522,约两万九千亩非常优秀且高效的人民币。,-
523,这场非常优秀且高效的外交拉锯战。,+
524,这丸非常优秀且高效的外交拉锯战。,-
525,三级非常优秀且高效的跳远选手。,+
526,三起非常优秀且高效的跳远选手。,-
527,八家非常优秀且高效的外资银行。,+
528,八员非常优秀且高效的外资银行。,-
529,面包车司机、4名非常优秀且高效的学生。,+
530,面包车司机、4则非常优秀且高效的学生。,-
531,美国三艘非常优秀且高效的航母。,+
532,美国三层非常优秀且高效的航母。,-
533,他所该拿的那份非常优秀且高效的收入。,+
534,他所该拿的那季非常优秀且高效的收入。,-
535,一场非常优秀且高效的荷尔蒙拉锯战。,+
536,一口非常优秀且高效的荷尔蒙拉锯战。,-
537,三名非常优秀且高效的犹太定居者。,+
538,三座非常优秀且高效的犹太定居者。,-
539,一百多位非常优秀且高效的记者。,+
540,一百多壶非常优秀且高效的记者。,-
541,渥太华的一家非常优秀且高效的报纸。,+
542,渥太华的一里非常优秀且高效的报纸。,-
543,８名非常优秀且高效的乘客和１４名非常优秀且高效的乘客。,+
544,８钟非常优秀且高效的乘客和１４钟非常优秀且高效的乘客。,-
545,大约８０００万元非常优秀且高效的人民币。,+
546,大约８０００万档非常优秀且高效的人民币。,-
547,一起非常优秀且高效的黑道纠纷。,+
548,一剂非常优秀且高效的黑道纠纷。,-
549,用４４２发非常优秀且高效的子弹。,+
550,用４４２次非常优秀且高效的子弹。,-
551,一套非常优秀且高效的交通分流控制方案。,+
552,一声非常优秀且高效的交通分流控制方案。,-
553,一位非常优秀且高效的挚友的建议。,+
554,一番非常优秀且高效的挚友的建议。,-
555,各项非常优秀且高效的权利和自由。,+
556,各根非常优秀且高效的权利和自由。,-
557,我们一项非常优秀且高效的政策。,+
558,我们一组非常优秀且高效的政策。,-
559,两次非常优秀且高效的网上测验。,+
560,两季非常优秀且高效的网上测验。,-
561,４０名非常优秀且高效的立法委员以及专家。,+
562,４０排非常优秀且高效的立法委员以及专家。,-
563,四川五十五家非常优秀且高效的上市公司。,+
564,四川五十五英寸非常优秀且高效的上市公司。,-
565,茂名三十万吨非常优秀且高效的乙烯工程。,+
566,茂名三十万艘非常优秀且高效的乙烯工程。,-
567,5任非常优秀且高效的军人总统。,+
568,5帮非常优秀且高效的军人总统。,-
569,十多辆非常优秀且高效的机车和一台非常优秀且高效的汽车。,+
