,left_branch_island_echo_question,coordinate_structure_constraint_object_extraction,npi_present_1,determiner_noun_agreement_1,passive_2,left_branch_island_simple_question,causative,intransitive,wh_vs_that_no_gap,principle_A_c_command,transitive,determiner_noun_agreement_2,complex_NP_island,sentential_subject_island,drop_argument,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,regular_plural_subject_verb_agreement_1,wh_vs_that_with_gap,sentential_negation_npi_licensor_present,existential_there_object_raising,principle_A_case_1,passive_1,inchoative,distractor_agreement_relational_noun,irregular_past_participle_adjectives,adjunct_island,regular_plural_subject_verb_agreement_2,wh_vs_that_no_gap_long_distance,irregular_past_participle_verbs,ellipsis_n_bar_1,principle_A_reconstruction,wh_questions_subject_gap,tough_vs_raising_1,ellipsis_n_bar_2,wh_questions_subject_gap_long_distance,coordinate_structure_constraint_complex_left_branch,irregular_plural_subject_verb_agreement_2,animate_subject_passive,determiner_noun_agreement_with_adj_2,wh_questions_object_gap,npi_present_2,anaphor_gender_agreement,principle_A_domain_3,irregular_plural_subject_verb_agreement_1,wh_vs_that_with_gap_long_distance,sentential_negation_npi_scope,distractor_agreement_relative_clause,principle_A_case_2,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,existential_there_quantifiers_1,expletive_it_object_raising,only_npi_licensor_present,principle_A_domain_2,determiner_noun_agreement_irregular_1,determiner_noun_agreement_with_adjective_1,existential_there_quantifiers_2,matrix_question_npi_licensor_present,determiner_noun_agreement_with_adj_irregular_2,wh_island,existential_there_subject_raising,tough_vs_raising_2,animate_subject_trans,anaphor_number_agreement,only_npi_scope,superlative_quantifiers_1
transitive,5.0,50.0,23.0,56.0,98.0,24.0,80.0,32.0,54.0,12.0,768.0,60.0,11.0,13.0,46.0,61.0,38.0,46.0,40.0,28.0,59.0,61.0,154.0,36.0,33.0,7.0,28.0,31.0,48.0,32.0,26.0,2.0,44.0,55.0,30.0,7.0,24.0,39.0,61.0,54.0,13.0,27.0,14.0,23.0,57.0,41.0,53.0,52.0,125.0,69.0,21.0,3.0,50.0,4.0,29.0,47.0,59.0,6.0,2.0,68.0,18.0,38.0,34.0,29.0,15.0,19.0,2.0
determiner_noun_agreement_2,5.0,11.0,36.0,677.0,54.0,36.0,50.0,88.0,34.0,0.0,60.0,768.0,0.0,5.0,69.0,468.0,13.0,88.0,30.0,12.0,77.0,33.0,36.0,88.0,177.0,82.0,22.0,188.0,13.0,101.0,29.0,4.0,11.0,29.0,20.0,12.0,18.0,160.0,21.0,579.0,6.0,32.0,7.0,29.0,171.0,37.0,25.0,155.0,54.0,541.0,4.0,9.0,5.0,0.0,10.0,548.0,586.0,7.0,0.0,487.0,22.0,31.0,43.0,11.0,23.0,0.0,7.0
complex_NP_island,6.0,18.0,6.0,0.0,15.0,8.0,10.0,20.0,4.0,12.0,11.0,0.0,768.0,26.0,18.0,1.0,15.0,3.0,39.0,3.0,8.0,4.0,8.0,28.0,2.0,10.0,82.0,6.0,2.0,5.0,16.0,9.0,28.0,25.0,18.0,26.0,16.0,8.0,14.0,0.0,12.0,4.0,9.0,3.0,0.0,38.0,2.0,8.0,5.0,0.0,19.0,0.0,7.0,19.0,11.0,2.0,0.0,5.0,11.0,0.0,64.0,3.0,6.0,7.0,1.0,10.0,17.0
sentential_subject_island,17.0,139.0,15.0,5.0,26.0,52.0,30.0,9.0,18.0,11.0,13.0,5.0,26.0,768.0,11.0,7.0,33.0,0.0,14.0,9.0,10.0,11.0,3.0,14.0,0.0,0.0,15.0,1.0,17.0,9.0,21.0,204.0,14.0,13.0,14.0,39.0,9.0,2.0,13.0,6.0,172.0,13.0,4.0,14.0,0.0,5.0,4.0,0.0,3.0,8.0,5.0,4.0,8.0,12.0,41.0,5.0,7.0,0.0,3.0,7.0,18.0,10.0,4.0,5.0,0.0,12.0,15.0
drop_argument,25.0,24.0,31.0,60.0,19.0,21.0,19.0,353.0,39.0,2.0,46.0,69.0,18.0,11.0,768.0,54.0,22.0,26.0,88.0,4.0,12.0,28.0,33.0,225.0,24.0,27.0,61.0,49.0,26.0,37.0,38.0,10.0,13.0,40.0,24.0,15.0,2.0,58.0,22.0,57.0,14.0,20.0,12.0,14.0,31.0,53.0,19.0,70.0,27.0,45.0,17.0,14.0,8.0,0.0,23.0,42.0,57.0,7.0,0.0,44.0,11.0,24.0,31.0,13.0,5.0,5.0,6.0
determiner_noun_agreement_with_adj_irregular_1,6.0,19.0,31.0,469.0,57.0,38.0,73.0,79.0,28.0,0.0,61.0,468.0,1.0,7.0,54.0,768.0,12.0,123.0,28.0,19.0,74.0,27.0,42.0,62.0,192.0,71.0,15.0,172.0,14.0,80.0,34.0,4.0,13.0,27.0,18.0,10.0,20.0,147.0,18.0,536.0,5.0,36.0,6.0,16.0,169.0,34.0,26.0,156.0,64.0,527.0,7.0,10.0,4.0,0.0,10.0,435.0,549.0,11.0,0.0,618.0,30.0,45.0,65.0,12.0,40.0,3.0,10.0
principle_A_domain_1,35.0,22.0,18.0,13.0,43.0,19.0,25.0,12.0,24.0,3.0,38.0,13.0,15.0,33.0,22.0,12.0,768.0,0.0,13.0,16.0,17.0,42.0,24.0,14.0,0.0,1.0,25.0,0.0,23.0,12.0,51.0,38.0,17.0,16.0,27.0,16.0,7.0,2.0,46.0,13.0,51.0,19.0,14.0,10.0,1.0,13.0,5.0,5.0,22.0,17.0,23.0,7.0,9.0,17.0,16.0,8.0,14.0,2.0,14.0,13.0,9.0,14.0,9.0,15.0,0.0,29.0,15.0
regular_plural_subject_verb_agreement_1,0.0,0.0,39.0,82.0,31.0,3.0,40.0,28.0,5.0,2.0,46.0,88.0,3.0,0.0,26.0,123.0,0.0,768.0,6.0,11.0,28.0,11.0,34.0,24.0,202.0,52.0,7.0,153.0,11.0,96.0,0.0,0.0,6.0,22.0,4.0,0.0,20.0,147.0,9.0,85.0,0.0,43.0,27.0,18.0,209.0,4.0,24.0,115.0,43.0,97.0,2.0,26.0,5.0,0.0,5.0,72.0,92.0,0.0,0.0,97.0,42.0,27.0,20.0,20.0,133.0,1.0,0.0
wh_vs_that_with_gap,18.0,53.0,15.0,34.0,33.0,27.0,20.0,102.0,0.0,5.0,40.0,30.0,39.0,14.0,88.0,28.0,13.0,6.0,768.0,11.0,15.0,12.0,17.0,84.0,4.0,13.0,61.0,6.0,2.0,6.0,31.0,37.0,14.0,101.0,99.0,10.0,7.0,11.0,12.0,25.0,3.0,7.0,12.0,34.0,2.0,468.0,17.0,28.0,33.0,32.0,13.0,4.0,5.0,3.0,29.0,19.0,24.0,0.0,0.0,25.0,11.0,14.0,21.0,4.0,3.0,1.0,22.0
sentential_negation_npi_licensor_present,20.0,3.0,2.0,14.0,13.0,9.0,19.0,15.0,76.0,3.0,28.0,12.0,3.0,9.0,4.0,19.0,16.0,11.0,11.0,768.0,6.0,48.0,19.0,20.0,5.0,15.0,18.0,18.0,79.0,21.0,8.0,2.0,31.0,42.0,25.0,14.0,3.0,19.0,15.0,13.0,7.0,6.0,7.0,28.0,28.0,3.0,320.0,19.0,32.0,18.0,0.0,21.0,11.0,18.0,18.0,5.0,15.0,21.0,2.0,21.0,9.0,0.0,9.0,11.0,6.0,27.0,9.0
existential_there_object_raising,16.0,11.0,22.0,68.0,65.0,37.0,24.0,17.0,30.0,14.0,59.0,77.0,8.0,10.0,12.0,74.0,17.0,28.0,15.0,6.0,768.0,30.0,56.0,17.0,45.0,44.0,7.0,49.0,34.0,49.0,17.0,9.0,13.0,14.0,8.0,3.0,21.0,58.0,14.0,70.0,11.0,24.0,16.0,26.0,56.0,25.0,13.0,70.0,85.0,62.0,15.0,12.0,163.0,0.0,24.0,74.0,73.0,1.0,0.0,81.0,21.0,169.0,84.0,6.0,23.0,2.0,5.0
principle_A_case_1,15.0,10.0,11.0,31.0,21.0,26.0,25.0,29.0,60.0,9.0,61.0,33.0,4.0,11.0,28.0,27.0,42.0,11.0,12.0,48.0,30.0,768.0,32.0,19.0,5.0,11.0,16.0,8.0,58.0,32.0,18.0,4.0,24.0,11.0,11.0,10.0,17.0,16.0,8.0,29.0,14.0,12.0,4.0,18.0,20.0,18.0,26.0,22.0,46.0,17.0,15.0,8.0,26.0,6.0,36.0,22.0,28.0,10.0,0.0,23.0,8.0,30.0,19.0,27.0,13.0,13.0,13.0
passive_1,12.0,13.0,6.0,42.0,168.0,6.0,20.0,25.0,26.0,3.0,154.0,36.0,8.0,3.0,33.0,42.0,24.0,34.0,17.0,19.0,56.0,32.0,768.0,20.0,55.0,26.0,28.0,42.0,42.0,24.0,14.0,1.0,20.0,43.0,16.0,4.0,5.0,50.0,10.0,37.0,6.0,20.0,6.0,15.0,44.0,16.0,21.0,69.0,92.0,41.0,7.0,10.0,34.0,3.0,9.0,37.0,38.0,2.0,1.0,50.0,25.0,27.0,29.0,15.0,8.0,8.0,10.0
inchoative,17.0,15.0,20.0,91.0,8.0,18.0,37.0,401.0,39.0,0.0,36.0,88.0,28.0,14.0,225.0,62.0,14.0,24.0,84.0,20.0,17.0,19.0,20.0,768.0,26.0,21.0,79.0,51.0,33.0,36.0,14.0,14.0,14.0,49.0,31.0,7.0,12.0,72.0,23.0,68.0,6.0,27.0,14.0,33.0,39.0,45.0,21.0,58.0,28.0,55.0,6.0,10.0,10.0,1.0,16.0,52.0,83.0,1.0,0.0,56.0,24.0,24.0,24.0,2.0,17.0,4.0,10.0
distractor_agreement_relational_noun,0.0,4.0,15.0,176.0,42.0,8.0,23.0,20.0,2.0,3.0,33.0,177.0,2.0,0.0,24.0,192.0,0.0,202.0,4.0,5.0,45.0,5.0,55.0,26.0,768.0,91.0,6.0,348.0,7.0,111.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,301.0,3.0,180.0,0.0,22.0,5.0,8.0,408.0,3.0,9.0,261.0,44.0,153.0,0.0,30.0,0.0,0.0,6.0,168.0,180.0,2.0,0.0,185.0,27.0,61.0,48.0,7.0,92.0,1.0,0.0
irregular_past_participle_adjectives,2.0,4.0,8.0,80.0,37.0,20.0,5.0,29.0,10.0,16.0,7.0,82.0,10.0,0.0,27.0,71.0,1.0,52.0,13.0,15.0,44.0,11.0,26.0,21.0,91.0,768.0,5.0,134.0,10.0,37.0,4.0,2.0,7.0,8.0,3.0,8.0,20.0,146.0,4.0,74.0,4.0,9.0,11.0,8.0,123.0,19.0,14.0,92.0,18.0,79.0,25.0,12.0,6.0,9.0,9.0,91.0,73.0,4.0,8.0,71.0,17.0,47.0,37.0,11.0,24.0,11.0,15.0
adjunct_island,45.0,4.0,3.0,20.0,5.0,8.0,21.0,71.0,18.0,7.0,28.0,22.0,82.0,15.0,61.0,15.0,25.0,7.0,61.0,18.0,7.0,16.0,28.0,79.0,6.0,5.0,768.0,10.0,18.0,9.0,34.0,12.0,26.0,28.0,90.0,29.0,19.0,15.0,24.0,20.0,13.0,2.0,8.0,4.0,2.0,21.0,17.0,16.0,22.0,13.0,19.0,1.0,4.0,2.0,7.0,10.0,18.0,0.0,2.0,14.0,24.0,13.0,8.0,8.0,0.0,13.0,11.0
regular_plural_subject_verb_agreement_2,0.0,8.0,19.0,183.0,55.0,9.0,22.0,50.0,23.0,9.0,31.0,188.0,6.0,1.0,49.0,172.0,0.0,153.0,6.0,18.0,49.0,8.0,42.0,51.0,348.0,134.0,10.0,768.0,18.0,100.0,13.0,0.0,1.0,6.0,0.0,0.0,20.0,576.0,7.0,217.0,0.0,24.0,10.0,13.0,443.0,11.0,26.0,290.0,58.0,156.0,3.0,12.0,0.0,0.0,9.0,161.0,208.0,0.0,0.0,179.0,21.0,68.0,36.0,11.0,47.0,2.0,1.0
wh_vs_that_no_gap_long_distance,11.0,10.0,13.0,11.0,8.0,10.0,15.0,36.0,500.0,8.0,48.0,13.0,2.0,17.0,26.0,14.0,23.0,11.0,2.0,79.0,34.0,58.0,42.0,33.0,7.0,10.0,18.0,18.0,768.0,14.0,25.0,7.0,82.0,11.0,15.0,64.0,12.0,23.0,18.0,13.0,27.0,23.0,9.0,33.0,7.0,0.0,87.0,41.0,58.0,12.0,17.0,6.0,42.0,1.0,35.0,8.0,13.0,1.0,0.0,15.0,17.0,44.0,36.0,6.0,9.0,17.0,9.0
irregular_past_participle_verbs,0.0,11.0,25.0,98.0,28.0,11.0,9.0,31.0,19.0,1.0,32.0,101.0,5.0,9.0,37.0,80.0,12.0,96.0,6.0,21.0,49.0,32.0,24.0,36.0,111.0,37.0,9.0,100.0,14.0,768.0,18.0,11.0,6.0,3.0,3.0,1.0,9.0,106.0,12.0,90.0,6.0,30.0,16.0,10.0,109.0,6.0,19.0,70.0,49.0,84.0,6.0,6.0,11.0,2.0,5.0,94.0,83.0,3.0,0.0,72.0,19.0,44.0,4.0,3.0,28.0,3.0,4.0
ellipsis_n_bar_1,21.0,36.0,11.0,28.0,28.0,24.0,37.0,31.0,25.0,14.0,26.0,29.0,16.0,21.0,38.0,34.0,51.0,0.0,31.0,8.0,17.0,18.0,14.0,14.0,6.0,4.0,34.0,13.0,25.0,18.0,768.0,44.0,17.0,28.0,114.0,28.0,9.0,13.0,19.0,25.0,38.0,15.0,4.0,12.0,4.0,30.0,15.0,30.0,23.0,33.0,10.0,0.0,3.0,1.0,25.0,20.0,26.0,2.0,2.0,35.0,22.0,24.0,31.0,13.0,6.0,14.0,27.0
principle_A_reconstruction,21.0,108.0,6.0,4.0,28.0,63.0,15.0,8.0,10.0,22.0,2.0,4.0,9.0,204.0,10.0,4.0,38.0,0.0,37.0,2.0,9.0,4.0,1.0,14.0,0.0,2.0,12.0,0.0,7.0,11.0,44.0,768.0,4.0,25.0,24.0,34.0,5.0,1.0,16.0,4.0,194.0,7.0,3.0,13.0,0.0,41.0,2.0,1.0,0.0,3.0,16.0,1.0,7.0,18.0,19.0,1.0,3.0,3.0,11.0,4.0,25.0,1.0,6.0,11.0,0.0,9.0,12.0
wh_questions_subject_gap,17.0,11.0,17.0,9.0,18.0,9.0,14.0,16.0,108.0,10.0,44.0,11.0,28.0,14.0,13.0,13.0,17.0,6.0,14.0,31.0,13.0,24.0,20.0,14.0,0.0,7.0,26.0,1.0,82.0,6.0,17.0,4.0,768.0,13.0,27.0,259.0,1.0,3.0,21.0,8.0,96.0,18.0,8.0,13.0,2.0,8.0,24.0,4.0,38.0,12.0,25.0,2.0,11.0,12.0,14.0,7.0,8.0,4.0,2.0,14.0,19.0,3.0,18.0,7.0,2.0,8.0,23.0
tough_vs_raising_1,12.0,25.0,15.0,34.0,32.0,13.0,19.0,54.0,8.0,0.0,55.0,29.0,25.0,13.0,40.0,27.0,16.0,22.0,101.0,42.0,14.0,11.0,43.0,49.0,5.0,8.0,28.0,6.0,11.0,3.0,28.0,25.0,13.0,768.0,53.0,13.0,1.0,7.0,25.0,31.0,12.0,18.0,4.0,25.0,14.0,70.0,58.0,6.0,36.0,27.0,1.0,3.0,43.0,0.0,14.0,23.0,30.0,0.0,0.0,25.0,23.0,2.0,0.0,8.0,10.0,0.0,19.0
ellipsis_n_bar_2,15.0,22.0,2.0,26.0,21.0,10.0,30.0,39.0,13.0,5.0,30.0,20.0,18.0,14.0,24.0,18.0,27.0,4.0,99.0,25.0,8.0,11.0,16.0,31.0,0.0,3.0,90.0,0.0,15.0,3.0,114.0,24.0,27.0,53.0,768.0,33.0,9.0,0.0,38.0,17.0,11.0,4.0,1.0,17.0,1.0,59.0,24.0,1.0,25.0,25.0,12.0,0.0,6.0,3.0,19.0,11.0,15.0,4.0,1.0,21.0,25.0,8.0,9.0,15.0,3.0,2.0,16.0
wh_questions_subject_gap_long_distance,22.0,13.0,13.0,9.0,5.0,18.0,12.0,14.0,68.0,6.0,7.0,12.0,26.0,39.0,15.0,10.0,16.0,0.0,10.0,14.0,3.0,10.0,4.0,7.0,0.0,8.0,29.0,0.0,64.0,1.0,28.0,34.0,259.0,13.0,33.0,768.0,6.0,1.0,15.0,11.0,107.0,14.0,7.0,12.0,0.0,8.0,13.0,3.0,8.0,9.0,26.0,7.0,2.0,15.0,10.0,8.0,12.0,2.0,2.0,10.0,10.0,2.0,5.0,5.0,1.0,10.0,11.0
coordinate_structure_constraint_complex_left_branch,26.0,14.0,23.0,13.0,5.0,218.0,22.0,10.0,16.0,21.0,24.0,18.0,16.0,9.0,2.0,20.0,7.0,20.0,7.0,3.0,21.0,17.0,5.0,12.0,3.0,20.0,19.0,20.0,12.0,9.0,9.0,5.0,1.0,1.0,9.0,6.0,768.0,17.0,7.0,20.0,3.0,12.0,9.0,15.0,22.0,29.0,5.0,23.0,5.0,17.0,1.0,9.0,17.0,1.0,12.0,12.0,20.0,3.0,0.0,21.0,3.0,33.0,10.0,7.0,27.0,0.0,4.0
irregular_plural_subject_verb_agreement_2,0.0,8.0,20.0,153.0,59.0,14.0,20.0,59.0,29.0,14.0,39.0,160.0,8.0,2.0,58.0,147.0,2.0,147.0,11.0,19.0,58.0,16.0,50.0,72.0,301.0,146.0,15.0,576.0,23.0,106.0,13.0,1.0,3.0,7.0,0.0,1.0,17.0,768.0,9.0,171.0,1.0,30.0,10.0,16.0,425.0,16.0,25.0,276.0,73.0,133.0,3.0,15.0,0.0,0.0,15.0,143.0,167.0,0.0,0.0,150.0,20.0,62.0,44.0,17.0,47.0,3.0,1.0
animate_subject_passive,18.0,11.0,8.0,22.0,31.0,8.0,34.0,23.0,31.0,11.0,61.0,21.0,14.0,13.0,22.0,18.0,46.0,9.0,12.0,15.0,14.0,8.0,10.0,23.0,3.0,4.0,24.0,7.0,18.0,12.0,19.0,16.0,21.0,25.0,38.0,15.0,7.0,9.0,768.0,20.0,21.0,8.0,67.0,12.0,5.0,3.0,5.0,3.0,19.0,20.0,18.0,4.0,16.0,24.0,4.0,11.0,19.0,4.0,14.0,23.0,4.0,8.0,20.0,21.0,8.0,15.0,12.0
determiner_noun_agreement_with_adj_2,8.0,14.0,21.0,579.0,59.0,30.0,60.0,67.0,28.0,0.0,54.0,579.0,0.0,6.0,57.0,536.0,13.0,85.0,25.0,13.0,70.0,29.0,37.0,68.0,180.0,74.0,20.0,217.0,13.0,90.0,25.0,4.0,8.0,31.0,17.0,11.0,20.0,171.0,20.0,768.0,4.0,25.0,9.0,25.0,182.0,24.0,30.0,162.0,59.0,520.0,10.0,19.0,7.0,0.0,7.0,494.0,667.0,13.0,0.0,575.0,22.0,39.0,31.0,15.0,20.0,0.0,4.0
wh_questions_object_gap,7.0,73.0,7.0,2.0,54.0,64.0,27.0,4.0,36.0,11.0,13.0,6.0,12.0,172.0,14.0,5.0,51.0,0.0,3.0,7.0,11.0,14.0,6.0,6.0,0.0,4.0,13.0,0.0,27.0,6.0,38.0,194.0,96.0,12.0,11.0,107.0,3.0,1.0,21.0,4.0,768.0,15.0,6.0,6.0,0.0,0.0,0.0,2.0,14.0,4.0,21.0,3.0,1.0,9.0,33.0,3.0,4.0,7.0,4.0,4.0,16.0,4.0,12.0,4.0,1.0,10.0,32.0
npi_present_2,3.0,10.0,442.0,34.0,20.0,0.0,37.0,14.0,36.0,8.0,27.0,32.0,4.0,13.0,20.0,36.0,19.0,43.0,7.0,6.0,24.0,12.0,20.0,27.0,22.0,9.0,2.0,24.0,23.0,30.0,15.0,7.0,18.0,18.0,4.0,14.0,12.0,30.0,8.0,25.0,15.0,768.0,19.0,16.0,36.0,6.0,18.0,26.0,22.0,34.0,35.0,12.0,13.0,11.0,19.0,25.0,31.0,2.0,4.0,35.0,1.0,36.0,18.0,5.0,20.0,9.0,5.0
anaphor_gender_agreement,5.0,2.0,22.0,6.0,12.0,2.0,8.0,7.0,9.0,0.0,14.0,7.0,9.0,4.0,12.0,6.0,14.0,27.0,12.0,7.0,16.0,4.0,6.0,14.0,5.0,11.0,8.0,10.0,9.0,16.0,4.0,3.0,8.0,4.0,1.0,7.0,9.0,10.0,67.0,9.0,6.0,19.0,768.0,3.0,6.0,10.0,3.0,7.0,8.0,5.0,17.0,4.0,29.0,15.0,0.0,3.0,7.0,3.0,20.0,7.0,20.0,6.0,4.0,67.0,29.0,16.0,5.0
principle_A_domain_3,5.0,31.0,12.0,35.0,19.0,7.0,26.0,26.0,23.0,27.0,23.0,29.0,3.0,14.0,14.0,16.0,10.0,18.0,34.0,28.0,26.0,18.0,15.0,33.0,8.0,8.0,4.0,13.0,33.0,10.0,12.0,13.0,13.0,25.0,17.0,12.0,15.0,16.0,12.0,25.0,6.0,16.0,3.0,768.0,17.0,35.0,31.0,18.0,25.0,28.0,1.0,8.0,30.0,5.0,169.0,26.0,30.0,4.0,1.0,17.0,16.0,21.0,31.0,4.0,17.0,6.0,2.0
