,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
npi_present_1,12.0,26.0,25.0,5.0,27.0,13.0,9.0,20.0,6.0,3.0,1228.0,0.0,34.0,22.0,7.0,4.0,16.0,6.0,19.0,0.0,14.0,7.0,24.0,5.0,13.0,3.0,15.0,902.0,8.0,1.0,20.0,30.0,0.0,23.0,21.0,9.0,0.0,1.0,26.0,0.0,3.0,24.0,1.0,2.0,2.0,13.0,4.0,21.0,32.0,21.0,0.0,11.0,28.0,36.0,31.0,0.0,7.0,8.0,18.0,26.0,41.0,14.0,7.0,15.0,30.0,12.0,5.0
determiner_noun_agreement_with_adj_irregular_1,85.0,0.0,22.0,138.0,121.0,75.0,54.0,7.0,222.0,141.0,0.0,1228.0,0.0,0.0,11.0,42.0,54.0,193.0,0.0,800.0,82.0,59.0,7.0,60.0,154.0,105.0,72.0,0.0,86.0,842.0,5.0,6.0,1020.0,0.0,18.0,7.0,752.0,89.0,8.0,312.0,72.0,0.0,845.0,155.0,48.0,11.0,113.0,0.0,16.0,12.0,886.0,146.0,87.0,13.0,2.0,781.0,214.0,22.0,9.0,20.0,8.0,107.0,22.0,10.0,5.0,27.0,147.0
principle_A_domain_1,11.0,19.0,6.0,32.0,17.0,14.0,6.0,22.0,2.0,6.0,34.0,0.0,1228.0,185.0,2.0,21.0,2.0,125.0,50.0,0.0,0.0,5.0,10.0,6.0,10.0,5.0,50.0,28.0,11.0,0.0,4.0,20.0,0.0,29.0,1.0,18.0,0.0,0.0,10.0,8.0,5.0,52.0,0.0,9.0,1.0,6.0,63.0,49.0,30.0,5.0,0.0,15.0,19.0,3.0,15.0,0.0,1.0,60.0,7.0,21.0,6.0,6.0,5.0,36.0,7.0,1.0,1.0
principle_A_case_1,54.0,16.0,42.0,14.0,22.0,46.0,63.0,48.0,2.0,2.0,22.0,0.0,185.0,1228.0,15.0,39.0,27.0,12.0,13.0,4.0,13.0,66.0,33.0,31.0,0.0,1.0,37.0,21.0,9.0,1.0,29.0,30.0,1.0,28.0,25.0,17.0,1.0,39.0,41.0,2.0,6.0,15.0,1.0,15.0,11.0,19.0,6.0,24.0,61.0,53.0,1.0,1.0,35.0,49.0,11.0,1.0,2.0,28.0,12.0,12.0,16.0,13.0,7.0,22.0,8.0,12.0,17.0
only_npi_scope,24.0,4.0,58.0,14.0,21.0,27.0,44.0,10.0,23.0,14.0,7.0,11.0,2.0,15.0,1228.0,17.0,40.0,0.0,7.0,3.0,66.0,26.0,24.0,67.0,4.0,14.0,16.0,9.0,8.0,8.0,31.0,17.0,8.0,0.0,184.0,53.0,7.0,29.0,44.0,2.0,12.0,5.0,8.0,8.0,4.0,12.0,1.0,8.0,26.0,17.0,7.0,35.0,17.0,43.0,15.0,8.0,7.0,13.0,13.0,14.0,25.0,13.0,40.0,12.0,5.0,39.0,33.0
irregular_past_participle_verbs,120.0,12.0,32.0,39.0,46.0,100.0,105.0,31.0,29.0,1.0,4.0,42.0,21.0,39.0,17.0,1228.0,79.0,27.0,7.0,30.0,62.0,49.0,48.0,48.0,15.0,5.0,31.0,6.0,3.0,43.0,35.0,21.0,47.0,23.0,31.0,17.0,30.0,130.0,72.0,4.0,32.0,21.0,42.0,3.0,36.0,14.0,14.0,17.0,41.0,4.0,37.0,26.0,30.0,41.0,7.0,36.0,11.0,54.0,7.0,25.0,34.0,3.0,16.0,17.0,26.0,33.0,69.0
passive_1,127.0,8.0,122.0,23.0,197.0,123.0,142.0,30.0,287.0,22.0,16.0,54.0,2.0,27.0,40.0,79.0,1228.0,5.0,5.0,40.0,127.0,86.0,31.0,140.0,2.0,18.0,7.0,23.0,5.0,47.0,49.0,21.0,54.0,4.0,56.0,28.0,47.0,157.0,43.0,15.0,29.0,2.0,46.0,7.0,14.0,32.0,8.0,7.0,45.0,44.0,53.0,19.0,47.0,96.0,24.0,48.0,30.0,13.0,10.0,44.0,34.0,7.0,56.0,8.0,24.0,73.0,78.0
ellipsis_n_bar_1,8.0,6.0,2.0,71.0,36.0,10.0,7.0,5.0,63.0,57.0,6.0,193.0,125.0,12.0,0.0,27.0,5.0,1228.0,23.0,222.0,11.0,22.0,0.0,4.0,71.0,46.0,61.0,4.0,40.0,215.0,2.0,2.0,208.0,12.0,1.0,0.0,211.0,10.0,0.0,184.0,36.0,17.0,208.0,84.0,28.0,1.0,84.0,30.0,3.0,4.0,215.0,66.0,23.0,1.0,7.0,210.0,83.0,50.0,0.0,21.0,2.0,53.0,5.0,10.0,3.0,3.0,45.0
wh_island,5.0,19.0,4.0,31.0,9.0,4.0,5.0,7.0,7.0,9.0,19.0,0.0,50.0,13.0,7.0,7.0,5.0,23.0,1228.0,0.0,2.0,3.0,8.0,1.0,21.0,11.0,32.0,16.0,31.0,0.0,5.0,9.0,0.0,58.0,2.0,10.0,0.0,3.0,9.0,9.0,2.0,64.0,0.0,17.0,2.0,6.0,60.0,143.0,8.0,13.0,0.0,12.0,10.0,1.0,18.0,0.0,2.0,36.0,20.0,43.0,7.0,9.0,6.0,57.0,6.0,2.0,3.0
determiner_noun_agreement_irregular_1,50.0,0.0,17.0,151.0,122.0,45.0,36.0,5.0,206.0,164.0,0.0,800.0,0.0,4.0,3.0,30.0,40.0,222.0,0.0,1228.0,42.0,58.0,4.0,38.0,170.0,124.0,47.0,0.0,101.0,857.0,3.0,2.0,818.0,0.0,9.0,3.0,871.0,58.0,5.0,415.0,56.0,0.0,836.0,181.0,41.0,8.0,134.0,0.0,8.0,14.0,904.0,146.0,86.0,10.0,1.0,884.0,257.0,10.0,7.0,14.0,3.0,129.0,19.0,8.0,3.0,18.0,104.0
distractor_agreement_relative_clause,253.0,0.0,107.0,17.0,72.0,221.0,300.0,30.0,83.0,3.0,14.0,82.0,0.0,13.0,66.0,62.0,127.0,11.0,2.0,42.0,1228.0,99.0,71.0,527.0,1.0,5.0,23.0,22.0,2.0,58.0,106.0,18.0,84.0,1.0,68.0,33.0,61.0,193.0,60.0,9.0,52.0,1.0,59.0,5.0,57.0,31.0,3.0,0.0,20.0,33.0,63.0,43.0,51.0,86.0,20.0,65.0,14.0,18.0,19.0,96.0,32.0,9.0,66.0,5.0,36.0,139.0,150.0
principle_A_case_2,123.0,3.0,48.0,19.0,119.0,97.0,142.0,27.0,46.0,23.0,7.0,59.0,5.0,66.0,26.0,49.0,86.0,22.0,3.0,58.0,99.0,1228.0,32.0,80.0,11.0,10.0,26.0,7.0,15.0,55.0,51.0,16.0,65.0,12.0,44.0,26.0,45.0,133.0,28.0,22.0,72.0,1.0,57.0,20.0,64.0,37.0,7.0,12.0,32.0,54.0,54.0,15.0,111.0,55.0,10.0,42.0,21.0,29.0,10.0,49.0,16.0,25.0,13.0,13.0,14.0,26.0,125.0
wh_vs_that_no_gap_long_distance,49.0,6.0,85.0,12.0,54.0,42.0,48.0,324.0,26.0,0.0,24.0,7.0,10.0,33.0,24.0,48.0,31.0,0.0,8.0,4.0,71.0,32.0,1228.0,48.0,5.0,0.0,163.0,36.0,2.0,6.0,36.0,363.0,11.0,18.0,21.0,22.0,8.0,71.0,852.0,5.0,10.0,4.0,5.0,0.0,21.0,15.0,0.0,11.0,43.0,31.0,9.0,10.0,7.0,67.0,5.0,8.0,1.0,5.0,12.0,12.0,59.0,3.0,42.0,6.0,51.0,85.0,22.0
distractor_agreement_relational_noun,318.0,3.0,88.0,7.0,39.0,293.0,402.0,37.0,68.0,12.0,5.0,60.0,6.0,31.0,67.0,48.0,140.0,4.0,1.0,38.0,527.0,80.0,48.0,1228.0,2.0,14.0,28.0,14.0,7.0,42.0,99.0,12.0,61.0,5.0,74.0,20.0,44.0,227.0,64.0,8.0,31.0,1.0,40.0,20.0,29.0,38.0,1.0,3.0,30.0,49.0,52.0,34.0,60.0,115.0,25.0,41.0,19.0,18.0,16.0,61.0,45.0,19.0,60.0,5.0,21.0,86.0,129.0
sentential_subject_island,4.0,8.0,4.0,56.0,31.0,4.0,3.0,4.0,75.0,36.0,13.0,154.0,10.0,0.0,4.0,15.0,2.0,71.0,21.0,170.0,1.0,11.0,5.0,2.0,1228.0,30.0,107.0,11.0,43.0,155.0,3.0,5.0,148.0,26.0,10.0,2.0,168.0,5.0,2.0,118.0,16.0,53.0,153.0,34.0,17.0,4.0,106.0,19.0,0.0,2.0,160.0,343.0,16.0,11.0,14.0,170.0,74.0,28.0,6.0,45.0,0.0,25.0,1.0,15.0,3.0,4.0,16.0
wh_vs_that_with_gap_long_distance,12.0,14.0,1.0,32.0,25.0,16.0,13.0,0.0,52.0,838.0,3.0,105.0,5.0,1.0,14.0,5.0,18.0,46.0,11.0,124.0,5.0,10.0,0.0,14.0,30.0,1228.0,2.0,3.0,92.0,120.0,6.0,0.0,108.0,7.0,14.0,19.0,122.0,16.0,0.0,146.0,10.0,3.0,115.0,156.0,22.0,8.0,48.0,7.0,1.0,3.0,112.0,51.0,20.0,7.0,14.0,121.0,188.0,5.0,16.0,5.0,3.0,110.0,6.0,13.0,8.0,1.0,21.0
wh_questions_object_gap,19.0,4.0,11.0,30.0,33.0,19.0,22.0,278.0,41.0,3.0,15.0,72.0,50.0,37.0,16.0,31.0,7.0,61.0,32.0,47.0,23.0,26.0,163.0,28.0,107.0,2.0,1228.0,15.0,7.0,53.0,8.0,221.0,61.0,16.0,1.0,1.0,45.0,24.0,174.0,19.0,19.0,38.0,55.0,6.0,11.0,3.0,44.0,31.0,16.0,4.0,56.0,95.0,26.0,13.0,23.0,48.0,13.0,38.0,8.0,36.0,8.0,7.0,17.0,15.0,23.0,15.0,28.0
npi_present_2,24.0,21.0,42.0,7.0,29.0,23.0,25.0,21.0,16.0,3.0,902.0,0.0,28.0,21.0,9.0,6.0,23.0,4.0,16.0,0.0,22.0,7.0,36.0,14.0,11.0,3.0,15.0,1228.0,11.0,1.0,28.0,29.0,0.0,22.0,25.0,6.0,1.0,18.0,45.0,0.0,3.0,24.0,1.0,2.0,2.0,11.0,4.0,19.0,43.0,31.0,3.0,10.0,18.0,49.0,36.0,0.0,6.0,5.0,12.0,22.0,43.0,11.0,10.0,17.0,25.0,21.0,3.0
drop_argument,11.0,23.0,2.0,25.0,22.0,9.0,7.0,0.0,25.0,116.0,8.0,86.0,11.0,9.0,8.0,3.0,5.0,40.0,31.0,101.0,2.0,15.0,2.0,7.0,43.0,92.0,7.0,11.0,1228.0,97.0,13.0,0.0,89.0,24.0,9.0,6.0,102.0,8.0,1.0,112.0,19.0,29.0,94.0,380.0,14.0,10.0,53.0,22.0,0.0,15.0,100.0,22.0,15.0,3.0,29.0,105.0,96.0,57.0,6.0,33.0,3.0,243.0,8.0,23.0,2.0,8.0,15.0
determiner_noun_agreement_with_adjective_1,63.0,0.0,16.0,151.0,118.0,62.0,43.0,7.0,223.0,165.0,1.0,842.0,0.0,1.0,8.0,43.0,47.0,215.0,0.0,857.0,58.0,55.0,6.0,42.0,155.0,120.0,53.0,1.0,97.0,1228.0,4.0,6.0,862.0,0.0,14.0,4.0,985.0,76.0,7.0,396.0,63.0,0.0,1116.0,179.0,43.0,10.0,121.0,0.0,12.0,6.0,834.0,145.0,84.0,8.0,2.0,1002.0,255.0,20.0,6.0,22.0,3.0,122.0,14.0,9.0,3.0,26.0,116.0
existential_there_subject_raising,62.0,11.0,125.0,1.0,29.0,72.0,86.0,25.0,9.0,8.0,20.0,5.0,4.0,29.0,31.0,35.0,49.0,2.0,5.0,3.0,106.0,51.0,36.0,99.0,3.0,6.0,8.0,28.0,13.0,4.0,1228.0,20.0,3.0,6.0,28.0,7.0,6.0,72.0,32.0,3.0,15.0,6.0,4.0,2.0,18.0,9.0,2.0,1.0,77.0,57.0,6.0,18.0,13.0,170.0,12.0,6.0,1.0,11.0,25.0,22.0,131.0,13.0,14.0,7.0,44.0,47.0,30.0
wh_questions_subject_gap_long_distance,35.0,10.0,24.0,19.0,26.0,38.0,33.0,578.0,25.0,0.0,30.0,6.0,20.0,30.0,17.0,21.0,21.0,2.0,9.0,2.0,18.0,16.0,363.0,12.0,5.0,0.0,221.0,29.0,0.0,6.0,20.0,1228.0,9.0,11.0,9.0,20.0,4.0,42.0,307.0,1.0,6.0,14.0,5.0,1.0,6.0,10.0,6.0,21.0,20.0,33.0,6.0,13.0,14.0,26.0,7.0,5.0,7.0,6.0,6.0,11.0,29.0,0.0,16.0,8.0,25.0,25.0,3.0
determiner_noun_agreement_with_adj_irregular_2,80.0,0.0,21.0,147.0,122.0,73.0,54.0,7.0,231.0,148.0,0.0,1020.0,0.0,1.0,8.0,47.0,54.0,208.0,0.0,818.0,84.0,65.0,11.0,61.0,148.0,108.0,61.0,0.0,89.0,862.0,3.0,9.0,1228.0,0.0,14.0,6.0,800.0,83.0,12.0,332.0,67.0,0.0,844.0,159.0,43.0,14.0,113.0,0.0,17.0,18.0,962.0,152.0,89.0,13.0,2.0,807.0,220.0,21.0,9.0,19.0,5.0,109.0,25.0,10.0,9.0,29.0,139.0
coordinate_structure_constraint_object_extraction,7.0,24.0,2.0,20.0,9.0,5.0,11.0,12.0,1.0,8.0,23.0,0.0,29.0,28.0,0.0,23.0,4.0,12.0,58.0,0.0,1.0,12.0,18.0,5.0,26.0,7.0,16.0,22.0,24.0,0.0,6.0,11.0,0.0,1228.0,2.0,11.0,0.0,7.0,16.0,8.0,3.0,4.0,0.0,14.0,0.0,5.0,18.0,55.0,11.0,26.0,0.0,16.0,4.0,3.0,21.0,0.0,2.0,25.0,35.0,20.0,7.0,8.0,6.0,258.0,9.0,1.0,0.0
only_npi_licensor_present,42.0,13.0,39.0,13.0,21.0,49.0,72.0,8.0,11.0,12.0,21.0,18.0,1.0,25.0,184.0,31.0,56.0,1.0,2.0,9.0,68.0,44.0,21.0,74.0,10.0,14.0,1.0,25.0,9.0,14.0,28.0,9.0,14.0,2.0,1228.0,43.0,11.0,67.0,21.0,5.0,15.0,8.0,14.0,7.0,10.0,34.0,0.0,9.0,37.0,20.0,12.0,14.0,9.0,27.0,19.0,14.0,9.0,5.0,11.0,21.0,27.0,27.0,55.0,3.0,12.0,42.0,25.0
existential_there_quantifiers_2,15.0,25.0,46.0,8.0,20.0,25.0,22.0,4.0,19.0,21.0,9.0,7.0,18.0,17.0,53.0,17.0,28.0,0.0,10.0,3.0,33.0,26.0,22.0,20.0,2.0,19.0,1.0,6.0,6.0,4.0,7.0,20.0,6.0,11.0,43.0,1228.0,3.0,24.0,23.0,1.0,6.0,8.0,2.0,5.0,6.0,22.0,1.0,14.0,13.0,27.0,6.0,17.0,15.0,15.0,7.0,3.0,10.0,21.0,15.0,9.0,27.0,13.0,14.0,13.0,18.0,15.0,14.0
determiner_noun_agreement_1,51.0,0.0,19.0,149.0,110.0,53.0,37.0,6.0,220.0,168.0,0.0,752.0,0.0,1.0,7.0,30.0,47.0,211.0,0.0,871.0,61.0,45.0,8.0,44.0,168.0,122.0,45.0,1.0,102.0,985.0,6.0,4.0,800.0,0.0,11.0,3.0,1228.0,63.0,7.0,445.0,53.0,0.0,963.0,186.0,37.0,7.0,134.0,0.0,8.0,2.0,866.0,148.0,71.0,7.0,2.0,1115.0,265.0,19.0,9.0,16.0,4.0,128.0,22.0,9.0,3.0,36.0,107.0
regular_plural_subject_verb_agreement_1,435.0,5.0,74.0,17.0,71.0,481.0,482.0,66.0,76.0,19.0,1.0,89.0,0.0,39.0,29.0,130.0,157.0,10.0,3.0,58.0,193.0,133.0,71.0,227.0,5.0,16.0,24.0,18.0,8.0,76.0,72.0,42.0,83.0,7.0,67.0,24.0,63.0,1228.0,60.0,14.0,46.0,1.0,71.0,13.0,42.0,79.0,8.0,11.0,42.0,74.0,72.0,30.0,82.0,84.0,10.0,64.0,19.0,32.0,9.0,27.0,22.0,16.0,52.0,9.0,27.0,77.0,168.0
wh_vs_that_no_gap,50.0,7.0,99.0,28.0,58.0,46.0,52.0,307.0,20.0,0.0,26.0,8.0,10.0,41.0,44.0,72.0,43.0,0.0,9.0,5.0,60.0,28.0,852.0,64.0,2.0,0.0,174.0,45.0,1.0,7.0,32.0,307.0,12.0,16.0,21.0,23.0,7.0,60.0,1228.0,5.0,13.0,2.0,6.0,0.0,21.0,7.0,0.0,13.0,43.0,14.0,12.0,10.0,10.0,84.0,2.0,7.0,0.0,4.0,21.0,14.0,77.0,3.0,35.0,9.0,51.0,59.0,25.0
ellipsis_n_bar_2,7.0,3.0,9.0,127.0,75.0,10.0,9.0,0.0,136.0,187.0,0.0,312.0,8.0,2.0,2.0,4.0,15.0,184.0,9.0,415.0,9.0,22.0,5.0,8.0,118.0,146.0,19.0,0.0,112.0,396.0,3.0,1.0,332.0,8.0,5.0,1.0,445.0,14.0,5.0,1228.0,29.0,10.0,393.0,192.0,18.0,10.0,153.0,14.0,5.0,1.0,390.0,83.0,32.0,8.0,1.0,441.0,259.0,28.0,4.0,27.0,4.0,121.0,3.0,16.0,6.0,13.0,36.0
principle_A_domain_2,68.0,1.0,20.0,12.0,55.0,41.0,44.0,9.0,42.0,13.0,3.0,72.0,5.0,6.0,12.0,32.0,29.0,36.0,2.0,56.0,52.0,72.0,10.0,31.0,16.0,10.0,19.0,3.0,19.0,63.0,15.0,6.0,67.0,3.0,15.0,6.0,53.0,46.0,13.0,29.0,1228.0,0.0,64.0,29.0,577.0,5.0,19.0,2.0,7.0,11.0,51.0,10.0,52.0,29.0,6.0,56.0,17.0,17.0,8.0,160.0,20.0,33.0,11.0,7.0,1.0,15.0,296.0
adjunct_island,1.0,34.0,1.0,35.0,10.0,1.0,1.0,13.0,3.0,6.0,24.0,0.0,52.0,15.0,5.0,21.0,2.0,17.0,64.0,0.0,1.0,1.0,4.0,1.0,53.0,3.0,38.0,24.0,29.0,0.0,6.0,14.0,0.0,4.0,8.0,8.0,0.0,1.0,2.0,10.0,0.0,1228.0,0.0,29.0,0.0,5.0,16.0,143.0,21.0,9.0,0.0,27.0,5.0,1.0,22.0,0.0,0.0,52.0,29.0,18.0,2.0,19.0,4.0,6.0,7.0,0.0,0.0
determiner_noun_agreement_with_adj_2,66.0,0.0,17.0,149.0,123.0,62.0,40.0,6.0,225.0,164.0,1.0,845.0,0.0,1.0,8.0,42.0,46.0,208.0,0.0,836.0,59.0,57.0,5.0,40.0,153.0,115.0,55.0,1.0,94.0,1116.0,4.0,5.0,844.0,0.0,14.0,2.0,963.0,71.0,6.0,393.0,64.0,0.0,1228.0,177.0,46.0,9.0,118.0,0.0,11.0,6.0,817.0,142.0,89.0,10.0,2.0,983.0,247.0,21.0,5.0,24.0,3.0,118.0,14.0,9.0,4.0,21.0,121.0
